run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,repair_evidence,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260820T064331Z,2026-08-20T06:43:31.422815+00:00,study2,oracle,,none,1,123393401,1233934010108,6,6,40,40,2,1,6,3,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T064331Z,2026-08-20T06:43:31.423599+00:00,study2,pc_greedy_meek,,none,1,123393401,1233934010108,6,6,40,40,2,1,6,3,success,,1.582,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,,,,,,,,,,,,,,,,,0.909091,,,,,,,,,,,,,,,
20260820T064331Z,2026-08-20T06:43:31.423724+00:00,study2,probe_skel_only,,none,1,123393401,1233934010108,6,6,40,40,2,1,6,3,success,,1.721,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,32,0,0,0.909091,-1,-1,1.10484,0.0,1.0,,,,,,,,0.909091,2,3,0.5,0,0,,,,,,,,,,
20260820T064331Z,2026-08-20T06:43:33.216548+00:00,study2,oracle,,none,1,295485567,2954855670108,6,6,40,40,2,1,6,4,success,,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T064331Z,2026-08-20T06:43:31.425662+00:00,study2,probe_oracle_edits,,none,1,123393401,1233934010108,6,6,40,40,2,1,6,3,success,,1.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,1,1,1.38932,0.0054,0.99935,,,,,0,1,,0.909091,2,3,0.5,0,1,,,,,,,,,,
20260820T064331Z,2026-08-20T06:43:33.190346+00:00,study2,probe_mec_only,,none,1,123393401,1233934010108,6,6,40,40,2,1,6,3,success,,0.095,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,3,0,0,0.909091,-1,-1,1.09861,0.0,1.0,,,,,,,,0.909091,2,3,0.5,0,0,,,,,,,,,,
20260820T064331Z,2026-08-20T06:43:31.424026+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,40,40,2,1,6,3,success,,1.874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,2,1,1.74532,0.0054,0.99935,,,0,,3,4,1,0.909091,2,3,0.5,0,1,,0,0,0,0,0,0,0,0.0,0.0
20260820T064331Z,2026-08-20T06:43:31.423883+00:00,study2,probe_random_edits,,none,1,123393401,1233934010108,6,6,40,40,2,1,6,3,success,,1.903,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.8333333333333334,0.9090909090909091,1,0.5,2,1,5,0,2,48,0,0,0.909091,-1,-1,1.52183,0.68378,0.7977,,,,,4,4,,0.909091,2,3,0.5,0,0,,,,,,,,,,
20260820T064331Z,2026-08-20T06:43:33.299333+00:00,study2,pc_greedy_meek,,none,1,295485567,2954855670108,6,6,40,40,2,1,6,4,success,,0.058,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,,,,,,,,,,,,,,,,,0.909091,,,,,,,,,,,,,,,
20260820T064331Z,2026-08-20T06:43:31.424204+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,40,40,2,1,6,3,success,,1.934,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.8333333333333334,0.9090909090909091,1,0.5,2,1,5,0,2,48,48,0,0.909091,-1,-1,1.48672,0.14957,0.96609,,,0,,3,2,1,0.909091,2,3,0.5,0,0,,0,0,0,0,0,0,0,0.0,0.0
