arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,40,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.003 ±0.001
pc_greedy_meek,none,40,0.921 ±0.039,0.936 ±0.045,0.968 ±0.016,0.725 ±0.344,0.954 ±0.044,1.675 ±0.177,—,—,—,—,—,0.181 ±0.298
probe,gpt-4o-mini-2024-07-18,40,0.934 ±0.043,0.925 ±0.071,0.965 ±0.021,0.675 ±0.417,0.671 ±0.049,2.500 ±0.198,980.425 ±46.964,98.800 ±5.580,1079.225 ±45.477,0.000 ±0.000,1.000 ±0.000,3.014 ±0.320
probe,qwen3-coder-30b-a3b-instruct,40,0.964 ±0.022,0.973 ±0.023,0.972 ±0.016,0.425 ±0.242,0.642 ±0.040,2.600 ±0.169,1463.975 ±63.551,280.550 ±24.612,1744.525 ±74.713,0.001 ±0.000,1.000 ±0.000,3.703 ±0.361
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,0.744 ±0.055,0.923 ±0.063,0.964 ±0.016,2.025 ±0.441,0.992 ±0.016,0.525 ±0.222,931.625 ±40.113,381.350 ±17.089,1312.975 ±56.158,0.000 ±0.000,1.000 ±0.000,6.224 ±0.547
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,0.766 ±0.059,0.936 ±0.045,0.933 ±0.023,2.300 ±0.644,0.817 ±0.066,1.800 ±0.315,1543.825 ±201.562,921.875 ±106.432,2465.700 ±260.998,0.002 ±0.000,1.100 ±0.117,9.411 ±1.234
probe_mec_only,none,40,0.930 ±0.037,0.936 ±0.045,0.968 ±0.016,0.675 ±0.332,0.900 ±0.063,1.775 ±0.149,—,—,—,—,—,0.063 ±0.010
probe_oracle_edits,none,40,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,0.867 ±0.065,1.975 ±0.149,—,—,—,—,—,0.500 ±0.322
probe_random_edits,none,40,0.957 ±0.024,0.960 ±0.030,0.968 ±0.017,0.500 ±0.263,0.625 ±0.030,2.650 ±0.165,—,—,—,—,—,0.776 ±0.315
probe_skel_only,none,40,0.940 ±0.039,0.928 ±0.061,0.968 ±0.016,0.600 ±0.335,0.892 ±0.064,1.825 ±0.155,—,—,—,—,—,0.600 ±0.319
