run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T055608Z,pc_greedy_meek,none,1,123393401,1,1,3.5703,,,,,,0.90909,,2,1,
20260820T055608Z,pc_greedy_meek,none,1,123393401,2,0,2.7078,,,,,,1.0,,1,0,
20260820T055608Z,probe_oracle_edits,none,1,123393401,1,1,3.5703,48,1.43599,0.69315,0.74284,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.20494, ""eig_by_target"": {""0"": 0.52048, ""1"": 1.20494, ""2"": 0.03607, ""3"": 1.08941, ""4"": 0.70161}}"
20260820T055608Z,probe_oracle_edits,none,1,123393401,2,0,2.7078,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T055608Z,pc_greedy_meek,none,1,295485567,1,2,6.056,,,,,,0.66667,,3,0,
20260820T055608Z,probe_random_edits,none,1,123393401,1,3,3.0017,48,2.09374,0.70015,1.39359,0.76924,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.33063, ""eig_by_target"": {""0"": 0.66052, ""1"": 1.16157, ""2"": 0.0366, ""3"": 1.33063, ""4"": 0.49675}}"
20260820T055608Z,probe_random_edits,none,1,123393401,2,1,3.5703,48,0.70015,0.85063,-0.15048,0.65472,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.02723, ""eig_by_target"": {""0"": -0.0024, ""1"": 0.02723}}"
20260820T055608Z,probe_skel_only,none,1,123393401,1,1,3.5703,48,1.43599,0.69315,0.74284,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.20494, ""eig_by_target"": {""0"": 0.52048, ""1"": 1.20494, ""2"": 0.03607, ""3"": 1.08941, ""4"": 0.70161}}"
20260820T055608Z,probe_skel_only,none,1,123393401,2,0,2.7078,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T055608Z,probe_random_edits,none,1,295485567,1,2,6.056,48,1.96203,0.51743,1.4446,0.78738,0.76923,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.82642, ""eig_by_target"": {""0"": 1.57268, ""1"": 1.20565, ""2"": 1.82642, ""3"": 1.63042, ""4"": 1.11279, ""5"": 1.49991}}"
20260820T055608Z,probe_random_edits,none,1,295485567,2,1,9.6601,48,0.51743,0.0,0.51743,1.0,0.76923,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.51743, ""eig_by_target"": {""0"": 0.26085, ""1"": 0.51743, ""5"": 0.51743}}"
20260820T055608Z,probe_skel_only,none,1,295485567,1,3,11.7039,48,2.12074,1.09861,1.02212,0.33333,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.56751, ""eig_by_target"": {""0"": 0.76746, ""1"": 1.15728, ""2"": 1.39175, ""3"": 1.56751, ""4"": 1.10197, ""5"": 0.55387}}"
20260820T055608Z,probe_skel_only,none,1,295485567,2,2,6.056,48,1.09861,0.0,1.09861,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""2"": 1.09861, ""4"": 0.52099, ""5"": 0.75204}}"
20260820T055608Z,pc_greedy_meek,none,1,325160078,1,4,2.7965,,,,,,1.0,,4,0,
20260820T055608Z,probe_oracle_edits,none,1,295485567,1,2,6.056,48,2.39495,0.7868,1.60815,0.6844,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.87544, ""eig_by_target"": {""0"": 0.46223, ""1"": 1.0574, ""2"": 1.87544, ""3"": 1.83587, ""4"": 0.59787, ""5"": 0.6436}}"
20260820T055608Z,probe_oracle_edits,none,1,295485567,2,1,9.6601,48,0.7868,0.30089,0.48591,0.91071,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.5862, ""eig_by_target"": {""1"": 0.5862, ""5"": 0.20718}}"
20260820T055608Z,probe_skel_only,none,1,325160078,1,4,2.7965,48,1.61243,0.0,1.61243,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38139, ""eig_by_target"": {""0"": 0.34053, ""2"": 0.34165, ""3"": 0.45719, ""4"": 1.38139, ""5"": 0.88003}}"
20260820T055608Z,probe_random_edits,none,1,325160078,1,4,2.7965,48,2.4823,1.0966,1.3857,0.34817,0.92308,3,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.48561, ""eig_by_target"": {""0"": 0.95223, ""2"": 0.73643, ""3"": 1.38546, ""4"": 1.48561, ""5"": 1.08678}}"
20260820T055608Z,probe_random_edits,none,1,325160078,2,0,5.0109,48,1.0966,0.69081,0.40579,0.53414,0.92308,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.63606, ""eig_by_target"": {""0"": 0.63606, ""3"": 0.55063}}"
20260820T055608Z,probe,gpt-4o-mini-2024-07-18,1,123393401,1,3,3.0017,48,2.09374,0.70015,1.39359,0.76924,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.22708, ""eig_by_target"": {""0"": 0.64165, ""1"": 1.20772, ""2"": 0.04161, ""3"": 1.22708, ""4"": 0.59705}}"
20260820T055608Z,probe,gpt-4o-mini-2024-07-18,1,123393401,2,1,3.5703,48,0.70015,0.85063,-0.15048,0.65472,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.01388, ""eig_by_target"": {""0"": -0.00916, ""1"": 0.01388}}"
20260820T055608Z,probe_oracle_edits,none,1,325160078,1,4,2.7965,48,1.61243,0.0,1.61243,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38139, ""eig_by_target"": {""0"": 0.34053, ""2"": 0.34165, ""3"": 0.45719, ""4"": 1.38139, ""5"": 0.88003}}"
20260820T055608Z,pc_greedy_meek,none,1,1719885688,1,1,3.2164,,,,,,0.90909,,1,0,
20260820T055608Z,probe_skel_only,none,1,1719885688,1,1,3.2164,32,1.33782,0.00056,1.33726,0.99995,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.33777, ""eig_by_target"": {""0"": 0.64467, ""1"": 1.33777, ""2"": 1.2804, ""3"": 0.64462, ""4"": 0.64451, ""5"": 0.63721}}"
20260820T055608Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,3.5703,48,2.45352,1.17372,1.2798,0.42521,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.65957, ""eig_by_target"": {""0"": 0.78004, ""1"": 1.65957, ""2"": 0.04157, ""3"": 1.41471, ""4"": 1.19031}}"
20260820T055608Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,2,3,3.0017,48,1.17372,0.78275,0.39097,0.71956,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.70013, ""eig_by_target"": {""0"": 0.69278, ""1"": 0.0023, ""3"": 0.70013}}"
