arm,model_tag,n,directed_f1,total_tokens,cost_usd,llm_calls,f1_per_1k_tokens
probe,claude-haiku-4.5,60,0.943 ±0.025,2153.783 ±73.227,0.003 ±0.000,1.000 ±0.000,0.4377
probe,gemini-3-flash-preview,60,0.937 ±0.029,1534.217 ±100.985,0.001 ±0.000,1.000 ±0.000,0.611
probe,gpt-4o-mini-2024-07-18,60,0.938 ±0.022,1255.033 ±70.273,0.000 ±0.000,1.000 ±0.000,0.7477
probe,gpt-5.4-mini,60,0.948 ±0.021,1354.817 ±75.375,0.002 ±0.000,1.000 ±0.000,0.6998
probe,qwen3-coder-30b-a3b-instruct,60,0.929 ±0.026,2061.400 ±121.065,0.001 ±0.000,1.000 ±0.000,0.4508
probe_llm_graphs,claude-haiku-4.5,60,0.824 ±0.046,2506.750 ±82.999,0.005 ±0.000,1.000 ±0.000,0.3285
probe_llm_graphs,gemini-3-flash-preview,60,0.847 ±0.041,1890.467 ±104.753,0.002 ±0.000,1.000 ±0.000,0.448
probe_llm_graphs,gpt-4o-mini-2024-07-18,60,0.712 ±0.047,1500.833 ±79.789,0.000 ±0.000,1.000 ±0.000,0.4746
probe_llm_graphs,gpt-5.4-mini,60,0.818 ±0.047,1643.233 ±81.024,0.003 ±0.000,1.000 ±0.000,0.4977
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,60,0.742 ±0.049,2507.300 ±150.804,0.002 ±0.000,1.017 ±0.033,0.2959
probe_noreserve,claude-haiku-4.5,60,0.892 ±0.024,2153.783 ±73.227,0.003 ±0.000,1.000 ±0.000,0.4142
probe_noreserve,gemini-3-flash-preview,60,0.880 ±0.031,1534.217 ±100.985,0.001 ±0.000,1.000 ±0.000,0.5739
probe_noreserve,gpt-4o-mini-2024-07-18,60,0.889 ±0.020,1255.033 ±70.273,0.000 ±0.000,1.000 ±0.000,0.7081
probe_noreserve,gpt-5.4-mini,60,0.894 ±0.028,1354.817 ±75.375,0.002 ±0.000,1.000 ±0.000,0.6602
probe_noreserve,qwen3-coder-30b-a3b-instruct,60,0.882 ±0.024,2061.400 ±121.065,0.001 ±0.000,1.000 ±0.000,0.4277
