hypothesis_source,model_tag,n,directed_f1,truth_in_hypotheses,best_f1_in_hypotheses,n_hypotheses,truth_rank_final
llm whole graphs,claude-haiku-4.5,60,0.824 ±0.046,0.333 ±0.120,0.850 ±0.040,10.333 ±0.441,-0.317 ±0.249
llm whole graphs,gemini-3-flash-preview,60,0.847 ±0.041,0.350 ±0.122,0.884 ±0.030,11.767 ±0.135,-0.300 ±0.243
llm whole graphs,gpt-4o-mini-2024-07-18,60,0.712 ±0.047,0.117 ±0.082,0.733 ±0.044,7.950 ±0.915,-0.767 ±0.164
llm whole graphs,gpt-5.4-mini,60,0.818 ±0.047,0.317 ±0.119,0.854 ±0.037,11.133 ±0.374,-0.350 ±0.246
llm whole graphs,qwen3-coder-30b-a3b-instruct,60,0.742 ±0.049,0.200 ±0.102,0.769 ±0.045,6.067 ±0.945,-0.600 ±0.204
llm_repair + pc_mec,claude-haiku-4.5,60,0.943 ±0.025,0.633 ±0.123,0.960 ±0.017,48.000 ±0.000,0.267 ±0.246
llm_repair + pc_mec,gemini-3-flash-preview,60,0.937 ±0.029,0.667 ±0.120,0.964 ±0.016,47.467 ±0.733,0.350 ±0.246
llm_repair + pc_mec,gpt-4o-mini-2024-07-18,60,0.938 ±0.022,0.583 ±0.126,0.954 ±0.018,48.000 ±0.000,0.183 ±0.257
llm_repair + pc_mec,gpt-5.4-mini,60,0.948 ±0.021,0.633 ±0.123,0.961 ±0.017,48.000 ±0.000,0.283 ±0.251
llm_repair + pc_mec,qwen3-coder-30b-a3b-instruct,60,0.929 ±0.026,0.533 ±0.127,0.951 ±0.017,48.000 ±0.000,0.083 ±0.261
"llm_repair, no guard",claude-haiku-4.5,60,0.892 ±0.024,0.117 ±0.082,0.909 ±0.018,48.000 ±0.000,-0.767 ±0.164
"llm_repair, no guard",gemini-3-flash-preview,60,0.880 ±0.031,0.167 ±0.095,0.913 ±0.021,47.467 ±0.733,-0.650 ±0.202
"llm_repair, no guard",gpt-4o-mini-2024-07-18,60,0.889 ±0.020,0.067 ±0.064,0.900 ±0.017,48.000 ±0.000,-0.867 ±0.127
"llm_repair, no guard",gpt-5.4-mini,60,0.894 ±0.028,0.133 ±0.087,0.910 ±0.022,48.000 ±0.000,-0.733 ±0.173
"llm_repair, no guard",qwen3-coder-30b-a3b-instruct,60,0.882 ±0.024,0.033 ±0.046,0.899 ±0.016,48.000 ±0.000,-0.933 ±0.092
oracle edits (no LLM),none,60,0.992 ±0.010,0.967 ±0.046,0.998 ±0.003,48.000 ±0.000,0.950 ±0.098
pc_skeleton (no LLM),none,60,0.937 ±0.022,0.517 ±0.128,0.952 ±0.016,46.667 ±1.128,0.033 ±0.255
random edits (no LLM),none,60,0.920 ±0.030,0.517 ±0.128,0.947 ±0.019,48.000 ±0.000,0.067 ±0.267
