arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi
probe,gpt-4o-mini-2024-07-18,1,8,8,0,0.91046,0.070051,0.861918,0.959003,0.940476,0.121405,0.856347,1.024606,0.91046,0.070051,0.861918,0.959003,1.0,0.755929,0.476168,1.523832,0.729167,0.234648,0.566564,0.891769,2.0,0.755929,1.476168,2.523832,2.0,0.755929,1.476168,2.523832,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.91993,0.062889,0.87635,0.96351,-0.5,0.92582,-1.141561,0.141561,2.538846,0.583252,2.134673,2.94302,0.22147,0.397924,-0.054277,0.497217,0.909051,0.170618,0.790819,1.027283,,,,,,,,,0.864773,0.112838,0.78658,0.942965,830.875,1.246423,830.011273,831.738727,95.875,15.606203,85.060453,106.689547,926.75,15.116216,916.274996,937.225004,0.000182,9e-06,0.000176,0.000189,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.99575,2.231889,1.44913,4.54237,3.25,0.707107,2.76,3.74,3.5,0.92582,2.858439,4.141561
probe,gpt-4o-mini-2024-07-18,2,8,8,0,0.703892,0.201517,0.564248,0.843536,0.622917,0.147717,0.520554,0.72528,0.773832,0.138006,0.678199,0.869466,3.5,2.070197,2.065427,4.934573,0.770833,0.197956,0.633657,0.90801,2.25,0.886405,1.635752,2.864248,2.25,0.886405,1.635752,2.864248,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.800916,0.09567,0.73462,0.867212,-1.0,0.0,-1.0,-1.0,2.21077,0.91955,1.573554,2.847986,9.5e-05,0.000162,-1.7e-05,0.000207,0.999992,1.5e-05,0.999982,1.000003,,,,,,,,,0.767632,0.117793,0.686006,0.849259,1130.75,1.38873,1129.787659,1131.712341,88.75,21.789578,73.650593,103.849407,1219.5,22.238962,1204.089186,1234.910814,0.000146,1.3e-05,0.000137,0.000155,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.20425,0.292786,2.00136,2.40714,3.875,0.64087,3.4309,4.3191,2.625,1.767767,1.4,3.85
probe,qwen3-coder-30b-a3b-instruct,1,8,8,0,0.818344,0.191966,0.685318,0.95137,0.904762,0.178174,0.781294,1.02823,0.854058,0.123438,0.76852,0.939597,1.875,1.95941,0.517198,3.232802,0.833333,0.235702,0.67,0.996667,1.875,0.64087,1.4309,2.3191,1.875,0.64087,1.4309,2.3191,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.864773,0.112838,0.78658,0.942965,-0.5,0.92582,-1.141561,0.141561,2.753485,0.702234,2.266862,3.240108,0.349739,0.501455,0.002248,0.697229,0.837932,0.232626,0.676731,0.999134,,,,,,,,,0.864773,0.112838,0.78658,0.942965,1240.875,2.948971,1238.831468,1242.918532,160.875,60.744047,118.781523,202.968477,1401.75,61.462532,1359.158638,1444.341362,0.000446,0.000115,0.000366,0.000526,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.4895,19.049412,1.288931,27.690069,0.625,1.767767,-0.6,1.85,2.75,1.488048,1.718836,3.781164
probe,qwen3-coder-30b-a3b-instruct,2,8,8,0,0.778297,0.115744,0.69809,0.858503,0.689583,0.202942,0.548952,0.830215,0.794963,0.106613,0.721084,0.868843,2.875,1.356203,1.935199,3.814801,0.75,0.218218,0.598783,0.901217,2.375,0.517549,2.016357,2.733643,2.375,0.517549,2.016357,2.733643,46.0,5.656854,42.08,49.92,0.125,0.353553,-0.12,0.37,0.814927,0.095931,0.74845,0.881404,-0.75,0.707107,-1.24,-0.26,2.406571,0.663984,1.946454,2.866689,0.004359,0.012156,-0.004065,0.012782,0.999304,0.001953,0.99795,1.000657,,,,,,,,,0.767632,0.117793,0.686006,0.849259,1647.0,5.398412,1643.259091,1650.740909,154.375,41.575877,125.564387,183.185613,1801.375,40.031907,1773.634304,1829.115696,0.0006,0.000186,0.000471,0.000729,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.3405,12.400667,5.747276,22.933724,0.625,1.407886,-0.350615,1.600615,2.625,2.559994,0.851014,4.398986
probe_repair_only,gpt-4o-mini-2024-07-18,1,8,8,0,0.91046,0.070051,0.861918,0.959003,0.940476,0.121405,0.856347,1.024606,0.91046,0.070051,0.861918,0.959003,1.0,0.755929,0.476168,1.523832,0.729167,0.234648,0.566564,0.891769,2.0,0.755929,1.476168,2.523832,2.0,0.755929,1.476168,2.523832,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.91993,0.062889,0.87635,0.96351,-0.5,0.92582,-1.141561,0.141561,2.538846,0.583252,2.134673,2.94302,0.22147,0.397924,-0.054277,0.497217,0.909051,0.170618,0.790819,1.027283,,,,,,,,,0.864773,0.112838,0.78658,0.942965,830.875,1.246423,830.011273,831.738727,95.875,15.606203,85.060453,106.689547,926.75,15.116216,916.274996,937.225004,0.000182,9e-06,0.000176,0.000189,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.168125,2.795146,0.231188,4.105062,3.25,0.707107,2.76,3.74,3.5,0.92582,2.858439,4.141561
probe_repair_only,gpt-4o-mini-2024-07-18,2,8,8,0,0.703892,0.201517,0.564248,0.843536,0.622917,0.147717,0.520554,0.72528,0.773832,0.138006,0.678199,0.869466,3.5,2.070197,2.065427,4.934573,0.770833,0.197956,0.633657,0.90801,2.25,0.886405,1.635752,2.864248,2.25,0.886405,1.635752,2.864248,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.800916,0.09567,0.73462,0.867212,-1.0,0.0,-1.0,-1.0,2.21077,0.91955,1.573554,2.847986,9.5e-05,0.000162,-1.7e-05,0.000207,0.999992,1.5e-05,0.999982,1.000003,,,,,,,,,0.767632,0.117793,0.686006,0.849259,1130.75,1.38873,1129.787659,1131.712341,88.75,21.789578,73.650593,103.849407,1219.5,22.238962,1204.089186,1234.910814,0.000146,1.3e-05,0.000137,0.000155,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.64925,0.339854,0.413743,0.884757,3.875,0.64087,3.4309,4.3191,2.625,1.767767,1.4,3.85
probe_repair_only,qwen3-coder-30b-a3b-instruct,1,8,8,0,0.818344,0.191966,0.685318,0.95137,0.904762,0.178174,0.781294,1.02823,0.854058,0.123438,0.76852,0.939597,1.875,1.95941,0.517198,3.232802,0.833333,0.235702,0.67,0.996667,1.875,0.64087,1.4309,2.3191,1.875,0.64087,1.4309,2.3191,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.864773,0.112838,0.78658,0.942965,-0.5,0.92582,-1.141561,0.141561,2.753485,0.702234,2.266862,3.240108,0.349739,0.501455,0.002248,0.697229,0.837932,0.232626,0.676731,0.999134,,,,,,,,,0.864773,0.112838,0.78658,0.942965,1240.875,2.948971,1238.831468,1242.918532,160.875,60.744047,118.781523,202.968477,1401.75,61.462532,1359.158638,1444.341362,0.000446,0.000115,0.000366,0.000526,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.54975,16.345364,1.222991,23.876509,0.625,1.767767,-0.6,1.85,2.75,1.488048,1.718836,3.781164
probe_repair_only,qwen3-coder-30b-a3b-instruct,2,8,8,0,0.778297,0.115744,0.69809,0.858503,0.689583,0.202942,0.548952,0.830215,0.794963,0.106613,0.721084,0.868843,2.875,1.356203,1.935199,3.814801,0.75,0.218218,0.598783,0.901217,2.375,0.517549,2.016357,2.733643,2.375,0.517549,2.016357,2.733643,46.0,5.656854,42.08,49.92,0.125,0.353553,-0.12,0.37,0.814927,0.095931,0.74845,0.881404,-0.75,0.707107,-1.24,-0.26,2.406571,0.663984,1.946454,2.866689,0.004359,0.012156,-0.004065,0.012782,0.999304,0.001953,0.99795,1.000657,,,,,,,,,0.767632,0.117793,0.686006,0.849259,1647.0,5.398412,1643.259091,1650.740909,154.375,41.575877,125.564387,183.185613,1801.375,40.031907,1773.634304,1829.115696,0.0006,0.000186,0.000471,0.000729,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.237,12.39325,3.648916,20.825084,0.625,1.407886,-0.350615,1.600615,2.625,2.559994,0.851014,4.398986
probe_skel_only,none,1,8,8,0,0.839773,0.146402,0.738321,0.941224,0.875,0.248008,0.703139,1.046861,0.864773,0.112838,0.78658,0.942965,1.5,1.195229,0.671749,2.328251,0.9375,0.176777,0.815,1.06,1.5,0.534522,1.129595,1.870405,1.5,0.534522,1.129595,1.870405,31.0,16.248077,19.740657,42.259343,0.25,0.46291,-0.07078,0.57078,0.864773,0.112838,0.78658,0.942965,-0.5,0.92582,-1.141561,0.141561,1.76829,0.370178,1.51177,2.02481,0.086779,0.245011,-0.083005,0.256563,0.937486,0.176771,0.81499,1.059982,,,,,,,,,0.864773,0.112838,0.78658,0.942965,,,,,,,,,,,,,,,,,,,,,,,,,0.92725,1.998049,-0.457328,2.311828,,,,,,,,
probe_skel_only,none,2,8,8,0,0.710381,0.147928,0.607872,0.81289,0.63125,0.14812,0.528608,0.733892,0.767632,0.117793,0.686006,0.849259,3.375,1.187735,2.551942,4.198058,0.8125,0.207737,0.668545,0.956455,2.25,0.707107,1.76,2.74,2.25,0.707107,1.76,2.74,35.0,15.964246,23.937342,46.062658,0.0,0.0,0.0,0.0,0.767632,0.117793,0.686006,0.849259,-1.0,0.0,-1.0,-1.0,2.111735,0.751961,1.590653,2.632817,0.086644,0.245066,-0.083178,0.256466,0.9375,0.176777,0.815,1.06,,,,,,,,,0.767632,0.117793,0.686006,0.849259,,,,,,,,,,,,,,,,,,,,,,,,,0.452125,0.237508,0.28754,0.61671,,,,,,,,
