arm,model_tag,level,n,directed_f1,selection_regret_total,cost_usd
eig+llm,gpt-4o-mini-2024-07-18,1,10,0.685 ±0.109,0.400 ±0.599,0.000 ±0.000
eig+llm,gpt-4o-mini-2024-07-18,2,10,0.570 ±0.136,0.600 ±0.433,0.000 ±0.000
eig+llm,qwen3-coder-30b-a3b-instruct,1,10,0.652 ±0.125,0.400 ±0.599,0.001 ±0.001
eig+llm,qwen3-coder-30b-a3b-instruct,2,10,0.702 ±0.103,0.600 ±0.433,0.001 ±0.001
eig+meek,none,1,10,0.947 ±0.059,0.400 ±0.599,—
eig+meek,none,2,10,0.880 ±0.122,0.600 ±0.433,—
llm+llm,gpt-4o-mini-2024-07-18,1,10,0.648 ±0.132,0.300 ±0.588,0.000 ±0.000
llm+llm,gpt-4o-mini-2024-07-18,2,10,0.638 ±0.134,1.200 ±0.816,0.000 ±0.000
llm+llm,qwen3-coder-30b-a3b-instruct,1,10,0.679 ±0.118,0.400 ±0.599,0.001 ±0.001
llm+llm,qwen3-coder-30b-a3b-instruct,2,10,0.729 ±0.084,0.700 ±0.657,0.001 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,1,10,0.947 ±0.059,0.300 ±0.588,0.000 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,2,10,0.887 ±0.100,1.200 ±0.816,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,1,10,0.947 ±0.059,0.400 ±0.599,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,2,10,0.889 ±0.106,1.100 ±0.898,0.001 ±0.000
llm_e2e,gpt-4o-mini-2024-07-18,1,10,0.000 ±0.000,—,0.009 ±0.001
llm_e2e,gpt-4o-mini-2024-07-18,2,10,0.000 ±0.000,—,0.012 ±0.001
llm_e2e,qwen3-coder-30b-a3b-instruct,1,10,0.189 ±0.147,—,0.026 ±0.001
llm_e2e,qwen3-coder-30b-a3b-instruct,2,10,0.115 ±0.084,—,0.035 ±0.004
maxdeg+llm,gpt-4o-mini-2024-07-18,1,10,0.647 ±0.120,0.400 ±0.599,0.000 ±0.000
maxdeg+llm,gpt-4o-mini-2024-07-18,2,10,0.601 ±0.115,0.600 ±0.523,0.000 ±0.000
maxdeg+llm,qwen3-coder-30b-a3b-instruct,1,10,0.622 ±0.173,0.400 ±0.599,0.001 ±0.001
maxdeg+llm,qwen3-coder-30b-a3b-instruct,2,10,0.715 ±0.091,0.600 ±0.523,0.002 ±0.002
maxdeg+meek,none,1,10,0.947 ±0.059,0.400 ±0.599,—
maxdeg+meek,none,2,10,0.891 ±0.106,0.600 ±0.523,—
oracle+llm,gpt-4o-mini-2024-07-18,1,10,0.652 ±0.144,0.000 ±0.000,0.000 ±0.000
oracle+llm,gpt-4o-mini-2024-07-18,2,10,0.637 ±0.126,0.000 ±0.000,0.000 ±0.000
oracle+llm,qwen3-coder-30b-a3b-instruct,1,10,0.645 ±0.122,0.000 ±0.000,0.001 ±0.000
oracle+llm,qwen3-coder-30b-a3b-instruct,2,10,0.719 ±0.091,0.000 ±0.000,0.001 ±0.000
oracle+meek,none,1,10,0.947 ±0.059,0.000 ±0.000,—
oracle+meek,none,2,10,0.877 ±0.142,0.000 ±0.000,—
random+llm,gpt-4o-mini-2024-07-18,1,10,0.605 ±0.128,2.100 ±1.474,0.000 ±0.000
random+llm,gpt-4o-mini-2024-07-18,2,10,0.585 ±0.106,2.300 ±1.730,0.000 ±0.000
random+llm,qwen3-coder-30b-a3b-instruct,1,10,0.567 ±0.167,2.100 ±1.474,0.001 ±0.001
random+llm,qwen3-coder-30b-a3b-instruct,2,10,0.698 ±0.116,2.300 ±1.730,0.001 ±0.000
random+meek,none,1,10,0.895 ±0.074,2.100 ±1.474,—
random+meek,none,2,10,0.862 ±0.100,2.300 ±1.730,—
