arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,40,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.003 ±0.001
pc_greedy_meek,none,40,0.752 ±0.052,0.713 ±0.085,0.824 ±0.025,2.525 ±0.427,0.829 ±0.068,1.975 ±0.192,—,—,—,—,—,0.181 ±0.287
probe,gpt-4o-mini-2024-07-18,40,0.812 ±0.032,0.800 ±0.046,0.848 ±0.024,2.150 ±0.355,0.700 ±0.055,2.425 ±0.209,979.175 ±46.869,97.550 ±5.281,1076.725 ±48.327,0.000 ±0.000,1.000 ±0.000,2.402 ±0.334
probe,qwen3-coder-30b-a3b-instruct,40,0.801 ±0.036,0.748 ±0.075,0.853 ±0.025,2.175 ±0.364,0.733 ±0.062,2.350 ±0.193,1461.950 ±63.653,269.675 ±15.385,1731.625 ±68.731,0.001 ±0.000,1.000 ±0.000,3.524 ±0.331
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,0.528 ±0.066,0.594 ±0.103,0.801 ±0.032,4.300 ±0.640,0.908 ±0.055,1.100 ±0.312,923.225 ±39.709,325.625 ±21.887,1248.850 ±53.217,0.000 ±0.000,1.000 ±0.000,4.415 ±0.401
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,0.553 ±0.074,0.607 ±0.102,0.777 ±0.050,4.500 ±0.915,0.904 ±0.053,1.300 ±0.338,1475.325 ±136.150,768.125 ±113.661,2243.450 ±195.472,0.002 ±0.000,1.075 ±0.108,7.551 ±1.175
probe_mec_only,none,40,0.721 ±0.059,0.690 ±0.086,0.824 ±0.025,2.700 ±0.477,0.850 ±0.066,1.900 ±0.196,—,—,—,—,—,0.083 ±0.023
probe_oracle_edits,none,40,0.993 ±0.013,0.994 ±0.012,0.998 ±0.004,0.050 ±0.098,0.892 ±0.064,1.875 ±0.125,—,—,—,—,—,0.427 ±0.295
probe_random_edits,none,40,0.774 ±0.039,0.748 ±0.067,0.828 ±0.025,2.450 ±0.371,0.688 ±0.054,2.425 ±0.209,—,—,—,—,—,0.664 ±0.302
probe_skel_only,none,40,0.760 ±0.046,0.707 ±0.077,0.824 ±0.025,2.475 ±0.371,0.800 ±0.065,2.075 ±0.226,—,—,—,—,—,0.483 ±0.300
