run_id,arm,model_tag,level,seed,step,target,value,undirected_before,undirected_after,mec_size_before,mec_entropy_before,mec_exhaustive,true_gain_chosen,true_gain_best,selection_regret,selection_quality,eig_chosen_nats,eig_best_nats,eig_regret_nats,edges_resolved,orientations_correct,orientations_wrong,selector_meta
20260816T141522Z,random+meek,none,1,123393401,1,4,4.0848,3,2,4,1.38629,1,1,3,2.0,0.33333,0.56234,1.03972,0.47739,1,1,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141522Z,random+meek,none,1,123393401,2,1,3.5703,2,1,3,1.09861,1,1,2,1.0,0.5,0.63651,1.09861,0.4621,1,1,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141522Z,maxdeg+meek,none,1,123393401,1,1,3.5703,3,1,4,1.38629,1,2,3,1.0,0.66667,1.03972,1.03972,0.0,2,2,0,"{""rule"": ""max_undirected_degree"", ""degree"": 2}"
20260816T141522Z,maxdeg+meek,none,1,123393401,2,0,2.7078,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_undirected_degree"", ""degree"": 1}"
20260816T141522Z,eig+meek,none,1,123393401,1,1,3.5703,3,1,4,1.38629,1,2,3,1.0,0.66667,1.03972,1.03972,0.0,2,2,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.03972, ""mec_size"": 4, ""mec_entropy_nats"": 1.38629, ""mec_exhaustive"": true}"
20260816T141522Z,eig+meek,none,1,123393401,2,0,2.7078,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 2, ""mec_entropy_nats"": 0.69315, ""mec_exhaustive"": true}"
20260816T141522Z,random+llm,gpt-4o-mini-2024-07-18,1,123393401,1,4,4.0848,3,2,4,1.38629,1,1,3,2.0,0.33333,0.56234,1.03972,0.47739,1,1,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141522Z,random+llm,gpt-4o-mini-2024-07-18,1,123393401,2,1,3.5703,2,1,3,1.09861,1,1,2,1.0,0.5,0.63651,1.09861,0.4621,1,1,0,"{""rule"": ""uniform_over_open_targets""}"
20260816T141522Z,eig+llm,gpt-4o-mini-2024-07-18,1,123393401,1,1,3.5703,3,1,4,1.38629,1,2,3,1.0,0.66667,1.03972,1.03972,0.0,2,2,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.03972, ""mec_size"": 4, ""mec_entropy_nats"": 1.38629, ""mec_exhaustive"": true}"
20260816T141522Z,eig+llm,gpt-4o-mini-2024-07-18,1,123393401,2,0,2.7078,1,0,2,0.69315,1,1,1,0.0,1.0,0.69315,0.69315,0.0,1,1,0,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""mec_size"": 2, ""mec_entropy_nats"": 0.69315, ""mec_exhaustive"": true}"
