arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,20,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.004 ±0.003
pc_greedy,none,20,0.693 ±0.088,0.786 ±0.110,0.804 ±0.038,3.150 ±0.856,0.775 ±0.104,1.850 ±0.327,—,—,—,—,—,0.307 ±0.552
pc_greedy_meek,none,20,0.687 ±0.079,0.759 ±0.118,0.804 ±0.038,3.150 ±0.769,0.858 ±0.099,1.700 ±0.288,—,—,—,—,—,0.307 ±0.554
probe,gpt-4o-mini-2024-07-18,20,0.795 ±0.054,0.839 ±0.084,0.819 ±0.044,2.450 ±0.674,0.717 ±0.089,2.250 ±0.314,979.900 ±67.272,95.150 ±7.407,1075.050 ±67.518,0.000 ±0.000,1.000 ±0.000,2.678 ±0.625
probe,qwen3-coder-30b-a3b-instruct,20,0.801 ±0.055,0.842 ±0.084,0.825 ±0.049,2.300 ±0.653,0.758 ±0.093,2.100 ±0.345,1443.150 ±91.453,212.800 ±42.840,1655.950 ±112.499,0.001 ±0.000,1.000 ±0.000,6.500 ±4.224
probe_llm_graphs,gpt-4o-mini-2024-07-18,20,0.498 ±0.107,0.647 ±0.174,0.792 ±0.039,4.650 ±0.998,0.900 ±0.080,1.100 ±0.447,923.250 ±56.798,326.500 ±28.040,1249.750 ±73.456,0.000 ±0.000,1.000 ±0.000,3.821 ±0.390
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,20,0.494 ±0.111,0.677 ±0.139,0.748 ±0.063,5.050 ±1.345,0.867 ±0.084,1.300 ±0.534,1362.550 ±80.996,618.400 ±74.208,1980.950 ±120.827,0.001 ±0.000,1.000 ±0.000,14.098 ±5.792
probe_mec_only,none,20,0.646 ±0.094,0.734 ±0.118,0.804 ±0.038,3.350 ±0.845,0.817 ±0.103,1.650 ±0.356,—,—,—,—,—,0.112 ±0.062
probe_repair_only,gpt-4o-mini-2024-07-18,20,0.795 ±0.054,0.839 ±0.084,0.819 ±0.044,2.450 ±0.674,0.717 ±0.089,2.250 ±0.314,979.900 ±67.272,95.150 ±7.407,1075.050 ±67.518,0.000 ±0.000,1.000 ±0.000,1.273 ±0.804
probe_repair_only,qwen3-coder-30b-a3b-instruct,20,0.788 ±0.067,0.826 ±0.097,0.825 ±0.049,2.400 ±0.758,0.775 ±0.096,2.050 ±0.333,1443.150 ±91.453,212.800 ±42.840,1655.950 ±112.499,0.001 ±0.000,1.000 ±0.000,4.730 ±4.093
probe_skel_only,none,20,0.743 ±0.060,0.799 ±0.100,0.804 ±0.038,2.700 ±0.553,0.817 ±0.103,1.900 ±0.242,—,—,—,—,—,0.235 ±0.084
