arm,model_tag,level,n,directed_f1,truth_in_hypotheses
oracle,none,1,10,1.000 ±0.000,—
oracle,none,2,10,1.000 ±0.000,—
pc_greedy,none,1,10,0.797 ±0.072,—
pc_greedy,none,2,10,0.589 ±0.135,—
pc_greedy_meek,none,1,10,0.777 ±0.082,—
pc_greedy_meek,none,2,10,0.596 ±0.113,—
probe,gpt-4o-mini-2024-07-18,1,10,0.854 ±0.058,0.100 ±0.196
probe,gpt-4o-mini-2024-07-18,2,10,0.737 ±0.078,0.000 ±0.000
probe,qwen3-coder-30b-a3b-instruct,1,10,0.843 ±0.063,0.100 ±0.196
probe,qwen3-coder-30b-a3b-instruct,2,10,0.759 ±0.086,0.000 ±0.000
probe_llm_graphs,gpt-4o-mini-2024-07-18,1,10,0.512 ±0.173,0.000 ±0.000
probe_llm_graphs,gpt-4o-mini-2024-07-18,2,10,0.483 ±0.135,0.000 ±0.000
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,1,10,0.528 ±0.164,0.000 ±0.000
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,2,10,0.461 ±0.156,0.000 ±0.000
probe_mec_only,none,1,10,0.728 ±0.124,0.000 ±0.000
probe_mec_only,none,2,10,0.563 ±0.126,0.000 ±0.000
probe_repair_only,gpt-4o-mini-2024-07-18,1,10,0.854 ±0.058,0.100 ±0.196
probe_repair_only,gpt-4o-mini-2024-07-18,2,10,0.737 ±0.078,0.000 ±0.000
probe_repair_only,qwen3-coder-30b-a3b-instruct,1,10,0.843 ±0.063,0.100 ±0.196
probe_repair_only,qwen3-coder-30b-a3b-instruct,2,10,0.732 ±0.110,0.000 ±0.000
probe_skel_only,none,1,10,0.768 ±0.102,0.000 ±0.000
probe_skel_only,none,2,10,0.717 ±0.063,0.000 ±0.000
