arm,selector,inferencer,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+llm,eig,llm,gpt-4o-mini-2024-07-18,20,20,0,0.62734,0.202268,0.538692,0.715987,0.893571,0.2562,0.781287,1.005856,0.886304,0.125925,0.831115,0.941493,4.1,3.007009,2.78212,5.41788,0.858333,0.204303,0.768794,0.947873,0.5,0.82717,0.137477,0.862523,0.191667,0.297529,0.061269,0.322064,0.947083,0.078606,0.912633,0.981534,0.0,0.0,0.0,0.0,0.941666,0.162447,0.870471,1.012862,0.0,0.0,0.0,0.0,1.8,0.767772,1.463509,2.136491,1.8,0.767772,1.463509,2.136491,0.981301,0.033939,0.966427,0.996176,0.65,0.48936,0.435528,0.864472,6.9,3.945684,5.170728,8.629272,1.786669,0.553908,1.543908,2.02943,0.05,0.223607,-0.048,0.148,671.05,77.912552,636.903318,705.196682,124.0,23.923122,113.515229,134.484771,795.05,83.238702,758.56903,831.53097,0.000175,1.9e-05,0.000167,0.000183,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.29585,0.66212,2.005663,2.586037
eig+llm,eig,llm,qwen3-coder-30b-a3b-instruct,20,20,0,0.676711,0.181433,0.597195,0.756228,0.890794,0.260949,0.776428,1.00516,0.944171,0.105946,0.897738,0.990604,2.85,1.871532,2.029765,3.670235,0.858333,0.204303,0.768794,0.947873,0.5,0.82717,0.137477,0.862523,0.191667,0.297529,0.061269,0.322064,0.947083,0.078606,0.912633,0.981534,0.0,0.0,0.0,0.0,0.941666,0.162447,0.870471,1.012862,0.0,0.0,0.0,0.0,1.8,0.767772,1.463509,2.136491,1.8,0.767772,1.463509,2.136491,0.981301,0.033939,0.966427,0.996176,0.65,0.48936,0.435528,0.864472,6.9,3.945684,5.170728,8.629272,1.786669,0.553908,1.543908,2.02943,0.05,0.223607,-0.048,0.148,1165.3,435.666108,974.360909,1356.239091,603.8,955.910621,184.853699,1022.746301,1769.1,1382.575853,1163.159416,2375.040584,0.001203,0.001689,0.000463,0.001943,1.1,0.307794,0.965104,1.234896,0.1,0.307794,-0.034896,0.234896,13.5221,16.35093,6.355989,20.688211
eig+meek,eig,meek,none,20,20,0,0.913639,0.154229,0.846045,0.981233,0.928889,0.1874,0.846757,1.011021,0.981301,0.033939,0.966427,0.996176,0.75,1.292692,0.183453,1.316547,0.858333,0.204303,0.768794,0.947873,0.5,0.82717,0.137477,0.862523,0.191667,0.297529,0.061269,0.322064,0.947083,0.078606,0.912633,0.981534,0.0,0.0,0.0,0.0,0.941666,0.162447,0.870471,1.012862,0.0,0.0,0.0,0.0,1.8,0.767772,1.463509,2.136491,1.8,0.767772,1.463509,2.136491,0.981301,0.033939,0.966427,0.996176,0.65,0.48936,0.435528,0.864472,6.9,3.945684,5.170728,8.629272,1.786669,0.553908,1.543908,2.02943,0.05,0.223607,-0.048,0.148,,,,,,,,,,,,,,,,,,,,,,,,,0.01825,0.004734,0.016175,0.020325
llm+llm,llm,llm,gpt-4o-mini-2024-07-18,20,20,0,0.643013,0.208326,0.551711,0.734316,0.860556,0.267627,0.743263,0.977848,0.89658,0.123651,0.842388,0.950773,4.1,3.582119,2.530067,5.669933,0.858333,0.204303,0.768794,0.947873,0.75,1.208522,0.220342,1.279658,0.308333,0.530571,0.0758,0.540867,0.920278,0.129818,0.863383,0.977173,0.026333,0.067641,-0.003312,0.055977,0.954167,0.15643,0.885608,1.022725,0.0,0.0,0.0,0.0,1.8,0.767772,1.463509,2.136491,1.8,0.767772,1.463509,2.136491,0.981301,0.033939,0.966427,0.996176,0.65,0.48936,0.435528,0.864472,6.9,3.945684,5.170728,8.629272,1.786669,0.553908,1.543908,2.02943,0.1,0.307794,-0.034896,0.234896,1598.35,543.636031,1360.091004,1836.608996,199.3,44.64963,179.731437,218.868563,1797.65,581.530854,1542.782866,2052.517134,0.000359,0.000105,0.000313,0.000405,2.8,0.767772,2.463509,3.136491,0.0,0.0,0.0,0.0,3.9628,0.794019,3.614806,4.310794
llm+llm,llm,llm,qwen3-coder-30b-a3b-instruct,20,20,0,0.703828,0.163001,0.63239,0.775266,0.898571,0.248989,0.789447,1.007696,0.973422,0.038016,0.956761,0.990084,2.35,1.225819,1.812761,2.887239,0.858333,0.204303,0.768794,0.947873,0.55,0.998683,0.112308,0.987692,0.2,0.344548,0.048995,0.351005,0.939444,0.100968,0.895193,0.983696,0.03989,0.113798,-0.009984,0.089764,0.956667,0.153365,0.889452,1.023881,0.0,0.0,0.0,0.0,1.8,0.767772,1.463509,2.136491,1.8,0.767772,1.463509,2.136491,0.981301,0.033939,0.966427,0.996176,0.65,0.48936,0.435528,0.864472,6.9,3.945684,5.170728,8.629272,1.786669,0.553908,1.543908,2.02943,0.05,0.223607,-0.048,0.148,2504.1,773.843171,2164.948277,2843.251723,543.55,681.44525,244.893451,842.206549,3047.65,1126.266832,2554.041797,3541.258203,0.001325,0.001205,0.000797,0.001853,2.85,0.74516,2.523419,3.176581,0.05,0.223607,-0.048,0.148,13.64995,12.605032,8.125551,19.174349
llm+meek,llm,meek,gpt-4o-mini-2024-07-18,20,20,0,0.916972,0.13305,0.858661,0.975284,0.94,0.145113,0.876401,1.003599,0.981301,0.033939,0.966427,0.996176,0.75,1.164158,0.239785,1.260215,0.858333,0.204303,0.768794,0.947873,0.75,1.208522,0.220342,1.279658,0.308333,0.530571,0.0758,0.540867,0.920278,0.129818,0.863383,0.977173,0.026333,0.067641,-0.003312,0.055977,0.954167,0.15643,0.885608,1.022725,0.0,0.0,0.0,0.0,1.8,0.767772,1.463509,2.136491,1.8,0.767772,1.463509,2.136491,0.981301,0.033939,0.966427,0.996176,0.65,0.48936,0.435528,0.864472,6.9,3.945684,5.170728,8.629272,1.786669,0.553908,1.543908,2.02943,0.1,0.307794,-0.034896,0.234896,926.35,466.338964,721.967938,1130.732062,74.4,32.159798,60.305347,88.494653,1000.75,498.080936,782.456405,1219.043595,0.000184,8.9e-05,0.000145,0.000223,1.8,0.767772,1.463509,2.136491,0.0,0.0,0.0,0.0,1.86475,0.759262,1.531989,2.197511
llm+meek,llm,meek,qwen3-coder-30b-a3b-instruct,20,20,0,0.917984,0.138147,0.857439,0.97853,0.937778,0.153215,0.870628,1.004927,0.981301,0.033939,0.966427,0.996176,0.75,1.164158,0.239785,1.260215,0.833333,0.216295,0.738538,0.928129,0.75,1.251315,0.201587,1.298413,0.3,0.525936,0.069499,0.530501,0.916111,0.134569,0.857133,0.975089,0.065917,0.155924,-0.00242,0.134254,0.956667,0.153365,0.889452,1.023881,0.0,0.0,0.0,0.0,1.85,0.74516,1.523419,2.176581,1.85,0.74516,1.523419,2.176581,0.981301,0.033939,0.966427,0.996176,0.65,0.48936,0.435528,0.864472,6.9,3.945684,5.170728,8.629272,1.786669,0.553908,1.543908,2.02943,0.1,0.307794,-0.034896,0.234896,1456.3,679.993197,1158.279842,1754.320158,100.15,39.678013,82.760344,117.539656,1556.45,717.746435,1241.883755,1871.016245,0.00048,0.00024,0.000375,0.000585,1.85,0.74516,1.523419,2.176581,0.0,0.0,0.0,0.0,3.64095,2.34038,2.615233,4.666667
llm_e2e,llm_e2e,llm_e2e,gpt-4o-mini-2024-07-18,20,20,0,0.0,0.0,0.0,0.0,0.15,0.366348,-0.010559,0.310559,0.115486,0.177769,0.037575,0.193396,8.9,2.807884,7.669391,10.130609,0.6,0.083771,0.563286,0.636714,,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.502625,2.379715,2.820285,2.6,0.502625,2.379715,2.820285,,,,,,,,,,,,,,,,,,,,,104593.7,20994.245941,95392.566032,113794.833968,213.05,31.446655,199.267896,226.832104,104806.75,21014.049919,95596.936556,114016.563444,0.010226,0.001812,0.009432,0.01102,3.6,0.502625,3.379715,3.820285,0.0,0.0,0.0,0.0,5.55255,0.848343,5.180747,5.924353
llm_e2e,llm_e2e,llm_e2e,qwen3-coder-30b-a3b-instruct,20,20,0,0.15163,0.191995,0.067485,0.235776,0.36246,0.380509,0.195695,0.529226,0.363609,0.170745,0.288776,0.438441,10.15,2.852054,8.900032,11.399968,0.6,0.083771,0.563286,0.636714,,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.502625,2.379715,2.820285,2.6,0.502625,2.379715,2.820285,,,,,,,,,,,,,,,,,,,,,152051.5,30687.516733,138602.102799,165500.897201,464.5,105.37427,418.31769,510.68231,152516.0,30735.941551,139045.379686,165986.620314,0.03047,0.006836,0.027474,0.033466,3.6,0.502625,3.379715,3.820285,0.0,0.0,0.0,0.0,57.5267,13.348087,51.676643,63.376757
maxdeg+llm,maxdeg,llm,gpt-4o-mini-2024-07-18,20,20,0,0.624082,0.185795,0.542653,0.70551,0.860556,0.267627,0.743263,0.977848,0.912866,0.092789,0.8722,0.953533,3.6,2.036509,2.707461,4.492539,0.858333,0.204303,0.768794,0.947873,0.5,0.888523,0.110587,0.889413,0.183333,0.31016,0.0474,0.319267,0.947778,0.085922,0.910121,0.985435,0.016785,0.055584,-0.007576,0.041146,0.944167,0.159704,0.874173,1.01416,0.0,0.0,0.0,0.0,1.8,0.767772,1.463509,2.136491,1.8,0.767772,1.463509,2.136491,0.981301,0.033939,0.966427,0.996176,0.65,0.48936,0.435528,0.864472,6.9,3.945684,5.170728,8.629272,1.786669,0.553908,1.543908,2.02943,0.0,0.0,0.0,0.0,671.1,77.941881,636.940464,705.259536,127.65,24.244967,117.024175,138.275825,798.75,79.233748,764.024279,833.475721,0.000177,1.8e-05,0.000169,0.000185,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.48675,1.285058,1.923548,3.049952
