arm,model_tag,level,n,directed_f1,truth_in_hypotheses
probe,gpt-4o-mini-2024-07-18,1,20,0.957 ±0.034,0.750 ±0.195
probe,gpt-4o-mini-2024-07-18,2,20,0.957 ±0.034,0.600 ±0.220
probe,qwen3-coder-30b-a3b-instruct,1,20,0.926 ±0.058,0.700 ±0.206
probe,qwen3-coder-30b-a3b-instruct,2,20,0.954 ±0.034,0.550 ±0.224
probe_noreserve,gpt-4o-mini-2024-07-18,1,20,0.901 ±0.035,0.100 ±0.135
probe_noreserve,gpt-4o-mini-2024-07-18,2,20,0.908 ±0.035,0.100 ±0.135
probe_noreserve,qwen3-coder-30b-a3b-instruct,1,20,0.846 ±0.054,0.050 ±0.098
probe_noreserve,qwen3-coder-30b-a3b-instruct,2,20,0.908 ±0.033,0.050 ±0.098
probe_oracle_edits,none,1,20,0.983 ±0.027,0.950 ±0.098
probe_oracle_edits,none,2,20,1.000 ±0.000,1.000 ±0.000
probe_oracle_edits_noreserve,none,1,20,0.996 ±0.008,1.000 ±0.000
probe_oracle_edits_noreserve,none,2,20,1.000 ±0.000,1.000 ±0.000
probe_random_edits,none,1,20,0.920 ±0.061,0.650 ±0.214
probe_random_edits,none,2,20,0.918 ±0.054,0.500 ±0.225
probe_random_edits_noreserve,none,1,20,0.859 ±0.046,0.000 ±0.000
probe_random_edits_noreserve,none,2,20,0.877 ±0.048,0.000 ±0.000
probe_skel_only,none,1,20,0.942 ±0.041,0.650 ±0.214
probe_skel_only,none,2,20,0.947 ±0.035,0.500 ±0.225
