arm,model_tag,level,n,directed_f1,truth_in_hypotheses
oracle,none,1,10,1.000 ±0.000,—
oracle,none,2,10,1.000 ±0.000,—
pc_greedy,none,1,10,0.832 ±0.085,—
pc_greedy,none,2,10,0.677 ±0.119,—
pc_greedy_meek,none,1,10,0.812 ±0.096,—
pc_greedy_meek,none,2,10,0.678 ±0.125,—
probe,gpt-4o-mini-2024-07-18,1,10,0.881 ±0.055,0.200 ±0.261
probe,gpt-4o-mini-2024-07-18,2,10,0.731 ±0.090,0.000 ±0.000
probe,qwen3-coder-30b-a3b-instruct,1,10,0.846 ±0.094,0.300 ±0.299
probe,qwen3-coder-30b-a3b-instruct,2,10,0.799 ±0.121,0.200 ±0.261
probe_llm_graphs,gpt-4o-mini-2024-07-18,1,10,0.505 ±0.148,0.000 ±0.000
probe_llm_graphs,gpt-4o-mini-2024-07-18,2,10,0.557 ±0.076,0.000 ±0.000
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,1,10,0.534 ±0.172,0.000 ±0.000
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,2,10,0.547 ±0.128,0.000 ±0.000
probe_mec_only,none,1,10,0.767 ±0.131,0.200 ±0.261
probe_mec_only,none,2,10,0.694 ±0.126,0.000 ±0.000
probe_repair_only,gpt-4o-mini-2024-07-18,1,10,0.881 ±0.055,0.200 ±0.261
probe_repair_only,gpt-4o-mini-2024-07-18,2,10,0.731 ±0.090,0.000 ±0.000
probe_repair_only,qwen3-coder-30b-a3b-instruct,1,10,0.846 ±0.094,0.300 ±0.299
probe_repair_only,qwen3-coder-30b-a3b-instruct,2,10,0.799 ±0.121,0.200 ±0.261
probe_skel_only,none,1,10,0.843 ±0.082,0.200 ±0.261
probe_skel_only,none,2,10,0.766 ±0.103,0.000 ±0.000
