arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,20,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.002 ±0.000
pc_greedy,none,20,0.755 ±0.079,0.806 ±0.085,0.831 ±0.050,2.550 ±0.718,0.725 ±0.096,1.950 ±0.414,—,—,—,—,—,0.338 ±0.571
pc_greedy_meek,none,20,0.745 ±0.083,0.785 ±0.097,0.831 ±0.050,2.550 ±0.745,0.875 ±0.088,1.600 ±0.387,—,—,—,—,—,0.322 ±0.573
probe,gpt-4o-mini-2024-07-18,20,0.806 ±0.062,0.823 ±0.074,0.848 ±0.043,2.200 ±0.676,0.750 ±0.096,2.100 ±0.315,980.250 ±67.339,99.700 ±7.859,1079.950 ±63.731,0.000 ±0.000,1.000 ±0.000,2.800 ±0.666
probe,qwen3-coder-30b-a3b-instruct,20,0.823 ±0.075,0.834 ±0.101,0.848 ±0.057,1.950 ±0.745,0.808 ±0.099,2.050 ±0.265,1444.550 ±91.583,147.550 ±16.283,1592.100 ±93.866,0.001 ±0.000,1.000 ±0.000,6.003 ±2.061
probe_llm_graphs,gpt-4o-mini-2024-07-18,20,0.531 ±0.082,0.666 ±0.146,0.826 ±0.045,4.150 ±0.671,0.967 ±0.045,0.650 ±0.409,924.550 ±56.496,337.650 ±18.613,1262.200 ±70.146,0.000 ±0.000,1.000 ±0.000,3.818 ±0.277
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,20,0.541 ±0.104,0.713 ±0.132,0.791 ±0.073,4.950 ±1.618,0.833 ±0.095,1.400 ±0.501,1364.950 ±80.722,717.500 ±81.572,2082.450 ±121.817,0.002 ±0.000,1.000 ±0.000,10.822 ±2.553
probe_mec_only,none,20,0.730 ±0.090,0.760 ±0.098,0.831 ±0.050,2.600 ±0.758,0.850 ±0.094,1.650 ±0.384,—,—,—,—,—,0.164 ±0.080
probe_repair_only,gpt-4o-mini-2024-07-18,20,0.806 ±0.062,0.823 ±0.074,0.848 ±0.043,2.200 ±0.676,0.750 ±0.096,2.100 ±0.315,980.250 ±67.339,99.700 ±7.859,1079.950 ±63.731,0.000 ±0.000,1.000 ±0.000,1.486 ±0.862
probe_repair_only,qwen3-coder-30b-a3b-instruct,20,0.823 ±0.075,0.834 ±0.101,0.848 ±0.057,1.950 ±0.745,0.808 ±0.099,2.050 ±0.265,1444.550 ±91.583,147.550 ±16.283,1592.100 ±93.866,0.001 ±0.000,1.000 ±0.000,4.785 ±1.918
probe_skel_only,none,20,0.805 ±0.066,0.795 ±0.095,0.831 ±0.050,2.150 ±0.624,0.850 ±0.094,1.800 ±0.305,—,—,—,—,—,0.314 ±0.116
