run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260816T143303Z,2026-08-16T14:33:03.326805+00:00,study2,probe_skel_only,,none,1,295485567,2954855670108,6,6,60,40,2,1,6,4,success,,5.929,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,32,0,0,0.909091,-1,-1,1.79221,0.0,1.0,,,,,,,,0.909091,5,0,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:03.324806+00:00,study2,probe_skel_only,,none,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,5.978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,2,1,1.43599,0.0,1.0,,,,,,,,1.0,3,3,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:09.366015+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,325160078,3251600780108,6,6,60,40,2,1,6,4,success,,4.331,0.8571428571428571,1.0,0.923076923076923,0.0,0.14285714285714285,0.16666666666666666,0.15384615384615383,6,1.0,0,1,7,0,0,1,1,0,0.153846,-1,-1,-0.0,-0.0,1.0,12,1,0,1,,,,1.0,4,2,1,0,0,755,385,0,1140,0.00034425,4.3168
20260816T143303Z,2026-08-16T14:33:13.719114+00:00,study2,probe_skel_only,,none,1,325160078,3251600780108,6,6,60,40,2,1,6,4,success,,0.135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,3,1,1.61243,0.0,1.0,,,,,,,,1.0,4,2,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:03.326520+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,60,40,2,1,6,4,success,,11.746,0.4,0.6666666666666666,0.5,0.0,0.2,0.3333333333333333,0.25,10,0.5,2,1,10,0,2,7,7,0,0.25,-1,-1,0.68761,0.0,1.0,12,7,0,1,,,,0.909091,5,0,1,0,0,752,525,0,1277,0.0004278,5.9719
20260816T143303Z,2026-08-16T14:33:03.324459+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,11.893,0.5,0.8333333333333334,0.625,0.4,0.2,0.3333333333333333,0.25,9,0.5,2,1,10,0,2,10,10,0,0.25,-1,-1,0.37141,0.99279,0.55277,12,10,0,1,,,,1.0,3,3,1,0,0,756,552,0,1308,0.0004446,6.096
20260816T143303Z,2026-08-16T14:33:15.256352+00:00,study2,probe_skel_only,,none,1,1719885688,17198856880108,6,6,60,40,3,2,6,2,success,,0.156,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.8333333333333334,0.9090909090909091,1,1.0,2,2,5,0,2,32,0,0,0.909091,-1,-1,1.33782,0.0,1.0,,,,,,,,0.909091,1,4,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:09.327673+00:00,study2,probe_llm_graphs,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,325160078,3251600780108,6,6,60,40,2,1,6,4,success,,9.323,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.0,0.1111111111111111,0.16666666666666666,0.13333333333333333,10,1.0,0,1,9,0,0,12,12,0,0.545455,-1,-1,0.0,0.0,1.0,12,12,0,1,,,,1.0,4,2,1,0,0,1143,510,576,1653,0.00117399,9.3049
20260816T143303Z,2026-08-16T14:33:15.112946+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1719885688,17198856880108,6,6,60,40,3,2,6,2,success,,3.791,0.42857142857142855,0.5,0.4615384615384615,0.0,0.14285714285714285,0.16666666666666666,0.15384615384615383,9,1.0,1,2,7,0,1,8,8,0,0.333333,-1,-1,0.89008,0.0,1.0,12,8,0,1,,,,0.909091,1,4,1,0,0,756,390,0,1146,0.0003474,3.7633
20260816T143303Z,2026-08-16T14:33:18.933620+00:00,study2,probe_skel_only,,none,1,239607114,2396071140108,6,6,60,40,2,1,6,4,success,,0.265,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,0.5,2,1,6,0,2,48,0,0,0.833333,-1,-1,2.48675,0.69315,0.5,,,,,,,,0.833333,6,0,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:18.673909+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,239607114,2396071140108,6,6,60,40,2,1,6,4,success,,3.263,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.5,0.5,0.5,4,1.0,0,1,6,0,0,7,7,0,0.5,-1,-1,0.00193,0.00193,0.9998,12,7,0,1,,,,0.833333,6,0,1,0,0,755,333,0,1088,0.00031305,3.2463
20260816T143303Z,2026-08-16T14:33:15.450372+00:00,study2,probe_llm_graphs,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,239607114,2396071140108,6,6,60,40,2,1,6,4,success,,9.268,0.5,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,7,1.0,0,1,6,0,0,12,12,0,0.5,-1,-1,0.00269,0.00269,0.99972,12,12,0,1,,,,0.833333,6,0,1,0,0,1143,541,576,1684,0.00122669,9.2493
20260816T143303Z,2026-08-16T14:33:24.741643+00:00,study2,probe_skel_only,,none,1,1279549348,12795493480108,6,6,60,40,3,2,6,6,success,,0.058,1.0,0.6666666666666666,0.8,1.0,1.0,0.6666666666666666,0.8,2,1.0,1,2,4,0,1,16,0,0,0.8,-1,-1,1.60992,0.0,1.0,,,,,,,,0.8,0,4,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:21.959787+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1279549348,12795493480108,6,6,60,40,3,2,6,6,success,,4.078,0.625,0.8333333333333334,0.7142857142857143,1.0,0.25,0.3333333333333333,0.28571428571428575,7,1.0,2,2,8,0,2,10,10,0,0.285714,-1,-1,0.87123,0.0,1.0,12,10,0,1,,,,0.8,0,4,1,0,0,755,429,0,1184,0.00037065,3.9876
20260816T143303Z,2026-08-16T14:33:03.325068+00:00,study2,probe_llm_graphs,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,295485567,2954855670108,6,6,60,40,2,1,6,4,success,,23.037,0.4,0.3333333333333333,0.3636363636363636,0.6666666666666666,0.2,0.16666666666666666,0.1818181818181818,8,1.0,1,1,5,0,1,12,12,0,0.181818,-1,-1,1.30184,0.0,1.0,12,12,0,1,,,,0.909091,5,0,1,0,0,1139,482,1088,1621,0.00094027,17.1913
20260816T143303Z,2026-08-16T14:33:26.389480+00:00,study2,probe_skel_only,,none,1,1943031107,19430311070108,6,6,60,40,3,2,6,2,success,,0.081,1.0,0.6666666666666666,0.8,0.3333333333333333,0.75,0.5,0.6,3,1.0,2,2,4,0,2,16,0,0,0.8,-1,-1,2.07944,0.00108,0.99989,,,,,,,,0.8,4,0,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:03.322764+00:00,study2,probe_llm_graphs,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,24.517,0.5,0.6666666666666666,0.5714285714285715,0.4,0.25,0.3333333333333333,0.28571428571428575,8,1.0,1,1,8,0,1,9,9,0,0.285714,-1,-1,0.6519,0.0,1.0,12,9,0,1,,,,1.0,3,3,1,0,0,1137,733,1088,1870,0.00136607,18.7192
20260816T143303Z,2026-08-16T14:33:26.069965+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1943031107,19430311070108,6,6,60,40,3,2,6,2,success,,4.018,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,8,1.0,0,2,6,0,0,8,8,0,0.333333,-1,-1,0.0,0.0,1.0,12,8,0,1,,,,0.8,4,0,1,0,0,755,313,0,1068,0.00030105,4.006
20260816T143303Z,2026-08-16T14:33:30.112169+00:00,study2,probe_skel_only,,none,1,1580201974,15802019740108,6,6,60,40,3,2,6,6,success,,0.05,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,3,1.0,2,2,3,0,2,8,0,0,0.666667,-1,-1,1.79176,0.0,1.0,,,,,,,,0.666667,3,0,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:27.870868+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1580201974,15802019740108,6,6,60,40,3,2,6,6,success,,3.171,0.8,0.6666666666666666,0.7272727272727272,1.0,0.2,0.16666666666666666,0.1818181818181818,6,1.0,0,2,5,0,0,12,12,0,0.363636,-1,-1,0.0,0.0,1.0,12,12,0,1,,,,0.666667,3,0,1,0,0,755,282,0,1037,0.00028245,3.155
20260816T143303Z,2026-08-16T14:33:26.500074+00:00,study2,probe_llm_graphs,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,1580201974,15802019740108,6,6,60,40,3,2,6,6,success,,6.337,0.5,0.5,0.5,1.0,0.0,0.0,0.0,9,1.0,0,2,6,0,0,12,12,0,0.166667,-1,-1,0.0,0.0,1.0,12,12,0,1,,,,0.666667,3,0,1,0,0,1142,539,576,1681,0.00122284,6.3199
20260816T143303Z,2026-08-16T14:33:32.862734+00:00,study2,probe_skel_only,,none,1,1078156455,10781564550108,6,6,60,40,3,2,6,6,success,,0.084,1.0,0.6666666666666666,0.8,1.0,1.0,0.6666666666666666,0.8,2,1.0,2,2,4,0,2,16,0,0,0.8,-1,-1,2.07944,0.0,1.0,,,,,,,,0.8,4,0,,,,,,,,,
20260816T143303Z,2026-08-16T14:33:19.228111+00:00,study2,probe_llm_graphs,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,1279549348,12795493480108,6,6,60,40,3,2,6,6,success,,14.283,0.5714285714285714,0.6666666666666666,0.6153846153846153,1.0,0.2857142857142857,0.3333333333333333,0.30769230769230765,7,1.0,2,2,7,0,2,9,9,0,0.307692,-1,-1,1.14016,0.0,1.0,12,9,0,1,,,,0.8,0,4,1,0,0,1141,1039,1088,2180,0.00188807,14.195
