arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,20,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.003 ±0.001
pc_greedy,none,20,0.927 ±0.051,0.933 ±0.066,0.981 ±0.015,0.650 ±0.456,0.733 ±0.102,2.050 ±0.265,—,—,—,—,—,0.324 ±0.575
pc_greedy_meek,none,20,0.929 ±0.053,0.938 ±0.067,0.981 ±0.015,0.600 ±0.436,0.883 ±0.082,1.750 ±0.345,—,—,—,—,—,0.325 ±0.577
probe,gpt-4o-mini-2024-07-18,20,0.951 ±0.058,0.934 ±0.099,0.972 ±0.029,0.550 ±0.611,0.683 ±0.078,2.400 ±0.298,980.650 ±67.254,104.800 ±9.044,1085.450 ±67.976,0.000 ±0.000,1.000 ±0.000,2.865 ±0.637
probe,qwen3-coder-30b-a3b-instruct,20,0.966 ±0.037,0.968 ±0.038,0.971 ±0.028,0.500 ±0.595,0.708 ±0.082,2.350 ±0.327,1444.850 ±90.784,162.700 ±27.368,1607.550 ±97.253,0.001 ±0.000,1.000 ±0.000,8.371 ±2.287
probe_llm_graphs,gpt-4o-mini-2024-07-18,20,0.719 ±0.080,0.908 ±0.105,0.953 ±0.031,2.200 ±0.613,0.975 ±0.049,0.500 ±0.302,931.950 ±57.504,376.550 ±23.493,1308.500 ±78.215,0.000 ±0.000,1.000 ±0.000,4.202 ±0.241
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,20,0.709 ±0.099,0.912 ±0.072,0.956 ±0.027,2.450 ±0.882,0.858 ±0.090,1.300 ±0.495,1372.150 ±81.028,797.100 ±83.097,2169.250 ±156.048,0.002 ±0.000,1.000 ±0.000,20.463 ±6.484
probe_mec_only,none,20,0.938 ±0.053,0.938 ±0.067,0.981 ±0.015,0.550 ±0.438,0.883 ±0.092,1.700 ±0.250,—,—,—,—,—,0.106 ±0.037
probe_repair_only,gpt-4o-mini-2024-07-18,20,0.951 ±0.058,0.934 ±0.099,0.972 ±0.029,0.550 ±0.611,0.683 ±0.078,2.400 ±0.298,980.650 ±67.254,104.800 ±9.044,1085.450 ±67.976,0.000 ±0.000,1.000 ±0.000,1.366 ±0.827
probe_repair_only,qwen3-coder-30b-a3b-instruct,20,0.966 ±0.037,0.968 ±0.038,0.971 ±0.028,0.500 ±0.595,0.708 ±0.082,2.350 ±0.327,1444.850 ±90.784,162.700 ±27.368,1607.550 ±97.253,0.001 ±0.000,1.000 ±0.000,6.273 ±2.375
probe_skel_only,none,20,0.975 ±0.023,0.968 ±0.038,0.981 ±0.015,0.300 ±0.250,0.892 ±0.086,1.850 ±0.257,—,—,—,—,—,0.446 ±0.132
