run_id,timestamp_utc,study,arm,selector,readout,prompt,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,status,error,wall_sec,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,interventions_used,submit_directed,submit_undirected,steps_taken,pc_skeleton_f1_ceiling,pc_truth_in_class,belief_undirected_final,decisions,decisions_correct,decisions_wrong,decisions_abstain,orientations_correct,orientations_wrong,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_latency_sec
20260819T074500Z,2026-08-19T07:45:00.781056+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,123393401,1233934010007,4,4,300,150,2,1,4,success,,5.521,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,0,3,0,0,0.857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260819T074500Z,2026-08-19T07:45:00.781908+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,239607114,2396071140007,4,4,300,150,2,1,4,success,,6.538,0.8571428571428571,1.0,0.3333333333333333,0.25,0.28571428571428575,3,1,3,0,1,0.857143,0,0,1,1,0,0,1,0,1,0,0,317,38,355,7.035e-05,1.0178
20260819T074500Z,2026-08-19T07:45:06.322877+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1943031107,19430311070007,4,4,300,150,3,2,4,success,,1.123,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1,3,0,1,0.857143,0,0,1,1,0,0,2,1,1,0,0,315,57,372,8.145e-05,1.1168
20260819T074500Z,2026-08-19T07:45:00.781585+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,325160078,3251600780007,4,4,300,150,3,2,4,success,,6.948,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1,3,0,1,0.857143,0,0,1,1,0,0,1,0,1,0,0,317,48,365,7.635e-05,1.4293
20260819T074500Z,2026-08-19T07:45:07.470071+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1078156455,10781564550007,4,4,300,150,2,1,4,success,,1.076,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1,3,0,1,0.857143,0,0,1,1,0,0,2,1,1,0,0,316,47,363,7.56e-05,1.0704
20260819T074500Z,2026-08-19T07:45:00.782170+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1279549348,12795493480007,4,4,300,150,2,1,4,success,,9.121,1.0,1.0,0.0,0.0,0.0,4,1,4,0,1,1.0,1,0,3,0,3,0,0,4,3,0,0,950,176,1126,0.0002481,3.6028
20260819T074500Z,2026-08-19T07:45:07.349074+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1580201974,15802019740007,4,4,300,150,2,1,4,success,,3.156,0.8571428571428571,1.0,0.0,0.0,0.0,4,2,3,0,2,0.857143,0,0,3,0,3,0,0,3,3,0,0,951,156,1107,0.00023625,3.1479
20260819T074500Z,2026-08-19T07:45:00.781756+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1719885688,17198856880007,4,4,300,150,3,2,4,success,,9.74,1.0,1.0,0.25,0.25,0.25,3,2,4,0,2,1.0,1,0,4,1,3,0,1,3,4,0,0,1267,167,1434,0.00029025,4.2166
20260819T074500Z,2026-08-19T07:45:07.755303+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1158667886,11586678860007,4,4,300,150,2,1,4,success,,3.09,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,2,3,0,2,0.857143,0,0,3,2,1,0,2,1,3,0,0,949,138,1087,0.00022515,3.0814
20260819T074500Z,2026-08-19T07:45:00.781334+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,295485567,2954855670007,4,4,300,150,3,2,4,success,,10.467,1.0,1.0,1.0,1.0,1.0,0,2,4,0,2,1.0,1,0,4,4,0,0,4,0,4,0,0,1263,192,1455,0.00030465,4.9444
20260819T074500Z,2026-08-19T07:45:08.571976+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1470120545,14701205450108,6,6,300,150,3,2,6,success,,3.06,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6,0,2,1.0,1,0,3,1,2,0,1,2,3,0,0,951,152,1103,0.00023385,3.0482
20260819T074500Z,2026-08-19T07:45:09.932048+00:00,study1_local,local_llm_stats,oracle,llm,stats,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1004126917,10041269170108,6,6,300,150,3,2,6,success,,1.93,0.9090909090909091,1.0,0.4,0.3333333333333333,0.3636363636363636,4,1,5,0,1,0.909091,0,0,2,1,1,0,1,1,2,0,0,631,90,721,0.00014865,1.9143
