arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,interventions_used,efficiency,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
eig+llm,gpt-4o-mini-2024-07-18,20,0.384 ±0.088,0.642 ±0.139,0.650 ±0.106,6.600 ±1.636,1.650 ±0.384,0.850 ±0.094,649.700 ±34.615,118.350 ±16.084,768.050 ±43.214,0.000 ±0.000,1.000 ±0.000,2.109 ±0.244
eig+llm,qwen3-coder-30b-a3b-instruct,20,0.541 ±0.075,0.654 ±0.151,0.816 ±0.046,4.000 ±0.652,1.650 ±0.384,0.850 ±0.094,1013.750 ±46.619,198.250 ±44.950,1212.000 ±68.592,0.001 ±0.000,1.000 ±0.000,4.997 ±2.626
eig+meek,none,20,0.761 ±0.078,0.785 ±0.097,0.831 ±0.050,2.450 ±0.703,1.650 ±0.384,0.850 ±0.094,—,—,—,—,—,0.018 ±0.004
llm+llm,gpt-4o-mini-2024-07-18,20,0.415 ±0.090,0.608 ±0.154,0.706 ±0.104,5.250 ±0.984,1.600 ±0.360,0.867 ±0.094,1450.850 ±235.077,172.100 ±20.369,1622.950 ±252.297,0.000 ±0.000,2.600 ±0.360,3.556 ±0.411
llm+llm,qwen3-coder-30b-a3b-instruct,20,0.507 ±0.089,0.654 ±0.151,0.811 ±0.050,4.300 ±0.793,1.550 ±0.362,0.892 ±0.086,2186.600 ±335.701,268.100 ±41.454,2454.700 ±358.354,0.001 ±0.000,2.550 ±0.362,6.461 ±1.408
llm+meek,gpt-4o-mini-2024-07-18,20,0.749 ±0.080,0.785 ±0.097,0.831 ±0.050,2.550 ±0.718,1.600 ±0.360,0.867 ±0.094,803.850 ±201.056,67.800 ±14.758,871.650 ±215.269,0.000 ±0.000,1.600 ±0.360,1.708 ±0.352
llm+meek,qwen3-coder-30b-a3b-instruct,20,0.733 ±0.081,0.785 ±0.097,0.831 ±0.050,2.650 ±0.729,1.550 ±0.362,0.892 ±0.086,1185.050 ±296.355,81.900 ±20.064,1266.950 ±315.985,0.000 ±0.000,1.550 ±0.362,2.939 ±0.986
llm_e2e,gpt-4o-mini-2024-07-18,20,0.000 ±0.000,0.150 ±0.161,0.178 ±0.090,10.250 ±2.050,2.550 ±0.265,0.625 ±0.052,8036.650 ±769.901,229.350 ±16.706,8266.000 ±783.575,0.001 ±0.000,3.550 ±0.265,4.478 ±0.422
llm_e2e,qwen3-coder-30b-a3b-instruct,20,0.203 ±0.065,0.371 ±0.154,0.391 ±0.078,10.100 ±1.239,2.600 ±0.220,0.600 ±0.037,12421.350 ±1019.365,361.050 ±25.836,12782.400 ±1034.574,0.004 ±0.000,3.600 ±0.220,11.572 ±4.397
maxdeg+llm,gpt-4o-mini-2024-07-18,20,0.396 ±0.096,0.616 ±0.148,0.695 ±0.099,5.800 ±1.236,1.600 ±0.387,0.875 ±0.088,645.250 ±34.196,119.600 ±13.114,764.850 ±42.234,0.000 ±0.000,1.000 ±0.000,2.361 ±0.590
maxdeg+llm,qwen3-coder-30b-a3b-instruct,20,0.517 ±0.089,0.654 ±0.151,0.782 ±0.057,4.450 ±0.835,1.600 ±0.387,0.875 ±0.088,1007.600 ±45.980,222.900 ±44.630,1230.500 ±66.990,0.001 ±0.000,1.000 ±0.000,5.330 ±2.408
maxdeg+meek,none,20,0.761 ±0.078,0.785 ±0.097,0.831 ±0.050,2.450 ±0.703,1.600 ±0.387,0.875 ±0.088,—,—,—,—,—,0.293 ±0.541
oracle+llm,gpt-4o-mini-2024-07-18,20,0.417 ±0.089,0.579 ±0.158,0.716 ±0.104,5.450 ±1.087,1.450 ±0.333,0.933 ±0.073,633.450 ±30.357,110.000 ±9.199,743.450 ±33.428,0.000 ±0.000,1.000 ±0.000,1.996 ±0.133
oracle+llm,qwen3-coder-30b-a3b-instruct,20,0.514 ±0.067,0.659 ±0.150,0.795 ±0.045,4.400 ±0.658,1.450 ±0.333,0.933 ±0.073,991.700 ±40.876,214.300 ±50.001,1206.000 ±69.241,0.001 ±0.000,1.000 ±0.000,4.562 ±1.772
oracle+meek,none,20,0.727 ±0.091,0.760 ±0.098,0.831 ±0.050,2.650 ±0.782,1.450 ±0.333,0.933 ±0.073,—,—,—,—,—,0.017 ±0.002
random+llm,gpt-4o-mini-2024-07-18,20,0.425 ±0.094,0.618 ±0.162,0.707 ±0.108,5.500 ±1.160,1.850 ±0.384,0.783 ±0.101,666.850 ±37.308,115.350 ±14.366,782.200 ±45.112,0.000 ±0.000,1.000 ±0.000,2.460 ±0.555
random+llm,qwen3-coder-30b-a3b-instruct,20,0.501 ±0.097,0.631 ±0.161,0.822 ±0.057,4.250 ±1.024,1.850 ±0.384,0.783 ±0.101,1037.000 ±50.279,204.500 ±48.638,1241.500 ±71.590,0.001 ±0.000,1.000 ±0.000,5.399 ±2.676
random+meek,none,20,0.679 ±0.081,0.726 ±0.123,0.831 ±0.050,3.100 ±0.665,1.850 ±0.384,0.783 ±0.101,—,—,—,—,—,0.294 ±0.539
