arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,40,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.002 ±0.000
pc_greedy_meek,none,40,0.829 ±0.047,0.840 ±0.068,0.900 ±0.026,1.775 ±0.457,0.867 ±0.062,1.775 ±0.248,—,—,—,—,—,0.194 ±0.304
probe,gpt-4o-mini-2024-07-18,40,0.885 ±0.034,0.865 ±0.064,0.908 ±0.026,1.375 ±0.389,0.771 ±0.062,2.250 ±0.230,979.500 ±46.941,101.350 ±5.603,1080.850 ±45.734,0.000 ±0.000,1.000 ±0.000,2.625 ±0.357
probe,qwen3-coder-30b-a3b-instruct,40,0.848 ±0.043,0.827 ±0.076,0.898 ±0.026,1.675 ±0.429,0.762 ±0.064,2.250 ±0.208,1463.550 ±63.193,356.600 ±109.415,1820.150 ±132.059,0.001 ±0.000,1.000 ±0.000,4.329 ±0.934
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,0.662 ±0.061,0.808 ±0.080,0.880 ±0.030,3.125 ±0.617,0.963 ±0.036,0.900 ±0.270,928.150 ±39.860,364.100 ±15.511,1292.250 ±52.775,0.000 ±0.000,1.000 ±0.000,5.187 ±0.913
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,0.687 ±0.064,0.802 ±0.084,0.882 ±0.032,2.975 ±0.653,0.871 ±0.064,1.425 ±0.280,1427.675 ±104.045,971.950 ±162.055,2399.625 ±186.229,0.002 ±0.000,1.025 ±0.049,8.996 ±1.224
probe_mec_only,none,40,0.826 ±0.046,0.848 ±0.063,0.900 ±0.026,1.775 ±0.430,0.904 ±0.057,1.675 ±0.226,—,—,—,—,—,0.090 ±0.033
probe_oracle_edits,none,40,0.989 ±0.022,0.989 ±0.021,0.994 ±0.011,0.150 ±0.294,0.925 ±0.052,1.850 ±0.165,—,—,—,—,—,0.460 ±0.325
probe_random_edits,none,40,0.861 ±0.041,0.850 ±0.063,0.900 ±0.027,1.575 ±0.438,0.704 ±0.058,2.425 ±0.184,—,—,—,—,—,0.780 ±0.316
probe_skel_only,none,40,0.860 ±0.038,0.833 ±0.059,0.900 ±0.026,1.575 ±0.409,0.892 ±0.057,1.850 ±0.217,—,—,—,—,—,0.657 ±0.324
