arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
llm_e2e,claude-haiku-4.5,60,0.188 ±0.047,0.323 ±0.086,0.388 ±0.046,12.933 ±1.571,1.000 ±0.000,1.433 ±0.150,7878.250 ±614.699,772.750 ±62.698,8651.000 ±667.916,0.012 ±0.001,2.433 ±0.150,9.271 ±0.809
llm_e2e,gemini-3-flash-preview,60,0.407 ±0.054,0.523 ±0.075,0.579 ±0.042,9.717 ±1.568,0.765 ±0.046,2.400 ±0.204,11838.467 ±925.017,673.717 ±60.793,12512.183 ±952.246,0.008 ±0.001,3.400 ±0.204,18.694 ±1.835
llm_e2e,gpt-4o-mini-2024-07-18,60,0.000 ±0.000,0.067 ±0.064,0.086 ±0.035,10.633 ±1.517,0.671 ±0.033,2.650 ±0.185,9292.633 ±701.333,229.933 ±11.500,9522.567 ±709.704,0.001 ±0.000,3.650 ±0.185,5.863 ±0.695
llm_e2e,gpt-5.4-mini,60,0.161 ±0.038,0.258 ±0.076,0.390 ±0.037,13.933 ±1.924,0.976 ±0.023,1.700 ±0.170,6758.700 ±616.384,464.150 ±39.796,7222.850 ±647.521,0.005 ±0.000,2.700 ±0.170,5.015 ±0.392
llm_e2e,qwen3-coder-30b-a3b-instruct,60,0.172 ±0.035,0.290 ±0.076,0.329 ±0.042,11.650 ±0.939,0.629 ±0.024,2.733 ±0.146,14492.833 ±942.763,572.283 ±23.308,15065.117 ±960.544,0.005 ±0.000,3.733 ±0.146,7.111 ±0.344
oracle,none,60,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.003 ±0.000
pc_greedy_meek,none,60,0.780 ±0.040,0.740 ±0.064,0.862 ±0.020,2.617 ±0.409,0.853 ±0.053,1.933 ±0.202,—,—,—,—,—,0.129 ±0.180
probe,claude-haiku-4.5,60,0.838 ±0.035,0.811 ±0.063,0.885 ±0.022,2.117 ±0.417,0.776 ±0.054,2.233 ±0.170,1852.900 ±70.998,285.000 ±19.617,2137.900 ±73.770,0.003 ±0.000,1.000 ±0.000,4.390 ±0.234
probe,gemini-3-flash-preview,60,0.832 ±0.037,0.842 ±0.056,0.885 ±0.023,2.267 ±0.501,0.747 ±0.052,2.367 ±0.161,1388.083 ±97.892,172.283 ±11.352,1560.367 ±100.096,0.001 ±0.000,1.000 ±0.000,6.099 ±1.121
probe,gpt-4o-mini-2024-07-18,60,0.826 ±0.030,0.786 ±0.057,0.869 ±0.020,2.283 ±0.390,0.738 ±0.050,2.367 ±0.174,1156.500 ±70.962,97.750 ±4.656,1254.250 ±70.716,0.000 ±0.000,1.000 ±0.000,3.100 ±0.581
probe,gpt-5.4-mini,60,0.844 ±0.034,0.818 ±0.057,0.881 ±0.022,2.083 ±0.440,0.764 ±0.052,2.333 ±0.172,1146.500 ±70.962,219.367 ±14.616,1365.867 ±75.422,0.002 ±0.000,1.000 ±0.000,3.350 ±0.556
probe,qwen3-coder-30b-a3b-instruct,60,0.839 ±0.032,0.822 ±0.044,0.877 ±0.022,2.133 ±0.407,0.715 ±0.049,2.450 ±0.150,1721.500 ±98.647,393.033 ±131.879,2114.533 ±194.817,0.001 ±0.000,1.017 ±0.033,4.631 ±1.194
probe_llm_graphs,claude-haiku-4.5,60,0.671 ±0.051,0.648 ±0.080,0.869 ±0.020,3.417 ±0.483,0.931 ±0.041,1.250 ±0.222,1766.567 ±59.647,706.583 ±31.777,2473.150 ±84.438,0.005 ±0.000,1.000 ±0.000,5.524 ±0.179
probe_llm_graphs,gemini-3-flash-preview,60,0.668 ±0.055,0.721 ±0.071,0.863 ±0.021,3.733 ±0.591,0.953 ±0.034,1.200 ±0.197,1321.983 ±86.967,563.067 ±31.042,1885.050 ±112.547,0.002 ±0.000,1.000 ±0.000,7.623 ±1.121
probe_llm_graphs,gpt-4o-mini-2024-07-18,60,0.582 ±0.047,0.649 ±0.081,0.848 ±0.024,4.233 ±0.505,0.936 ±0.037,1.083 ±0.239,1074.883 ±59.653,387.117 ±18.487,1462.000 ±74.799,0.000 ±0.000,1.000 ±0.000,5.987 ±0.686
probe_llm_graphs,gpt-5.4-mini,60,0.648 ±0.056,0.673 ±0.081,0.852 ±0.021,3.750 ±0.558,0.942 ±0.037,1.217 ±0.242,1066.883 ±59.653,531.000 ±22.250,1597.883 ±78.118,0.003 ±0.000,1.000 ±0.000,3.573 ±0.158
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,60,0.599 ±0.052,0.659 ±0.077,0.829 ±0.029,4.550 ±0.739,0.897 ±0.047,1.367 ±0.267,1640.817 ±101.760,863.183 ±79.882,2504.000 ±142.564,0.002 ±0.000,1.033 ±0.046,8.209 ±0.723
probe_noreserve,claude-haiku-4.5,60,0.815 ±0.039,0.813 ±0.065,0.867 ±0.023,2.467 ±0.462,0.776 ±0.054,2.250 ±0.166,1852.900 ±70.998,285.000 ±19.617,2137.900 ±73.770,0.003 ±0.000,1.000 ±0.000,0.731 ±0.128
probe_noreserve,gemini-3-flash-preview,60,0.809 ±0.036,0.843 ±0.058,0.873 ±0.022,2.533 ±0.462,0.744 ±0.053,2.383 ±0.148,1388.083 ±97.892,172.283 ±11.352,1560.367 ±100.096,0.001 ±0.000,1.000 ±0.000,1.405 ±0.432
probe_noreserve,gpt-4o-mini-2024-07-18,60,0.778 ±0.034,0.767 ±0.061,0.833 ±0.020,3.050 ±0.453,0.732 ±0.050,2.400 ±0.169,1156.500 ±70.962,97.750 ±4.656,1254.250 ±70.716,0.000 ±0.000,1.000 ±0.000,0.696 ±0.174
probe_noreserve,gpt-5.4-mini,60,0.797 ±0.039,0.801 ±0.060,0.857 ±0.024,2.717 ±0.500,0.767 ±0.051,2.333 ±0.178,1146.500 ±70.962,219.367 ±14.616,1365.867 ±75.422,0.002 ±0.000,1.000 ±0.000,0.711 ±0.142
probe_noreserve,qwen3-coder-30b-a3b-instruct,60,0.796 ±0.036,0.816 ±0.049,0.844 ±0.023,2.817 ±0.455,0.721 ±0.048,2.450 ±0.164,1721.500 ±98.647,393.033 ±131.879,2114.533 ±194.817,0.001 ±0.000,1.017 ±0.033,0.975 ±0.955
probe_oracle_edits,none,60,0.975 ±0.019,0.977 ±0.021,0.982 ±0.015,0.350 ±0.283,0.900 ±0.047,1.967 ±0.147,—,—,—,—,—,0.454 ±0.063
probe_random_edits,none,60,0.794 ±0.037,0.773 ±0.054,0.855 ±0.022,2.550 ±0.399,0.696 ±0.045,2.483 ±0.171,—,—,—,—,—,0.552 ±0.187
