arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,interventions_used,map_weight_final,entropy_final_nats
probe,claude-haiku-4.5,60,0.838 ±0.035,0.811 ±0.063,0.885 ±0.022,2.117 ±0.417,2.233 ±0.170,0.920 ±0.046,0.155 ±0.086
probe,gemini-3-flash-preview,60,0.832 ±0.037,0.842 ±0.056,0.885 ±0.023,2.267 ±0.501,2.367 ±0.161,0.924 ±0.043,0.169 ±0.086
probe,gpt-4o-mini-2024-07-18,60,0.826 ±0.030,0.786 ±0.057,0.869 ±0.020,2.283 ±0.390,2.367 ±0.174,0.908 ±0.041,0.195 ±0.073
probe,gpt-5.4-mini,60,0.844 ±0.034,0.818 ±0.057,0.881 ±0.022,2.083 ±0.440,2.333 ±0.172,0.924 ±0.039,0.158 ±0.070
probe,qwen3-coder-30b-a3b-instruct,60,0.839 ±0.032,0.822 ±0.044,0.877 ±0.022,2.133 ±0.407,2.450 ±0.150,0.892 ±0.045,0.233 ±0.087
probe_noreserve,claude-haiku-4.5,60,0.815 ±0.039,0.813 ±0.065,0.867 ±0.023,2.467 ±0.462,2.250 ±0.166,0.897 ±0.051,0.174 ±0.085
probe_noreserve,gemini-3-flash-preview,60,0.809 ±0.036,0.843 ±0.058,0.873 ±0.022,2.533 ±0.462,2.383 ±0.148,0.866 ±0.057,0.271 ±0.111
probe_noreserve,gpt-4o-mini-2024-07-18,60,0.778 ±0.034,0.767 ±0.061,0.833 ±0.020,3.050 ±0.453,2.400 ±0.169,0.845 ±0.057,0.269 ±0.093
probe_noreserve,gpt-5.4-mini,60,0.797 ±0.039,0.801 ±0.060,0.857 ±0.024,2.717 ±0.500,2.333 ±0.178,0.892 ±0.051,0.213 ±0.099
probe_noreserve,qwen3-coder-30b-a3b-instruct,60,0.796 ±0.036,0.816 ±0.049,0.844 ±0.023,2.817 ±0.455,2.450 ±0.164,0.857 ±0.058,0.247 ±0.096
