arm,model_tag,level,n,directed_f1,truth_in_hypotheses
llm_e2e,claude-haiku-4.5,1,20,0.226 ±0.112,—
llm_e2e,claude-haiku-4.5,2,20,0.193 ±0.071,—
llm_e2e,claude-haiku-4.5,3,20,0.146 ±0.049,—
llm_e2e,gemini-3-flash-preview,1,20,0.523 ±0.109,—
llm_e2e,gemini-3-flash-preview,2,20,0.346 ±0.076,—
llm_e2e,gemini-3-flash-preview,3,20,0.353 ±0.074,—
llm_e2e,gpt-4o-mini-2024-07-18,1,20,0.000 ±0.000,—
llm_e2e,gpt-4o-mini-2024-07-18,2,20,0.000 ±0.000,—
llm_e2e,gpt-4o-mini-2024-07-18,3,20,0.000 ±0.000,—
llm_e2e,gpt-5.4-mini,1,20,0.185 ±0.085,—
llm_e2e,gpt-5.4-mini,2,20,0.167 ±0.066,—
llm_e2e,gpt-5.4-mini,3,20,0.130 ±0.039,—
llm_e2e,qwen3-coder-30b-a3b-instruct,1,20,0.224 ±0.075,—
llm_e2e,qwen3-coder-30b-a3b-instruct,2,20,0.126 ±0.060,—
llm_e2e,qwen3-coder-30b-a3b-instruct,3,20,0.166 ±0.036,—
oracle,none,1,20,1.000 ±0.000,—
oracle,none,2,20,1.000 ±0.000,—
oracle,none,3,20,1.000 ±0.000,—
pc_greedy_meek,none,1,20,0.775 ±0.089,—
pc_greedy_meek,none,2,20,0.778 ±0.066,—
pc_greedy_meek,none,3,20,0.788 ±0.052,—
probe,claude-haiku-4.5,1,20,0.868 ±0.080,0.450 ±0.224
probe,claude-haiku-4.5,2,20,0.843 ±0.051,0.150 ±0.161
probe,claude-haiku-4.5,3,20,0.803 ±0.047,0.100 ±0.135
probe,gemini-3-flash-preview,1,20,0.883 ±0.057,0.400 ±0.220
probe,gemini-3-flash-preview,2,20,0.810 ±0.059,0.100 ±0.135
probe,gemini-3-flash-preview,3,20,0.803 ±0.070,0.100 ±0.135
probe,gpt-4o-mini-2024-07-18,1,20,0.862 ±0.049,0.250 ±0.195
probe,gpt-4o-mini-2024-07-18,2,20,0.818 ±0.052,0.050 ±0.098
probe,gpt-4o-mini-2024-07-18,3,20,0.798 ±0.053,0.050 ±0.098
probe,gpt-5.4-mini,1,20,0.862 ±0.063,0.350 ±0.214
probe,gpt-5.4-mini,2,20,0.864 ±0.051,0.150 ±0.161
probe,gpt-5.4-mini,3,20,0.806 ±0.062,0.100 ±0.135
probe,qwen3-coder-30b-a3b-instruct,1,20,0.878 ±0.055,0.350 ±0.214
probe,qwen3-coder-30b-a3b-instruct,2,20,0.830 ±0.057,0.050 ±0.098
probe,qwen3-coder-30b-a3b-instruct,3,20,0.809 ±0.051,0.050 ±0.098
probe_llm_graphs,claude-haiku-4.5,1,20,0.699 ±0.109,0.100 ±0.135
probe_llm_graphs,claude-haiku-4.5,2,20,0.632 ±0.084,0.000 ±0.000
probe_llm_graphs,claude-haiku-4.5,3,20,0.683 ±0.069,0.000 ±0.000
probe_llm_graphs,gemini-3-flash-preview,1,20,0.676 ±0.128,0.150 ±0.161
probe_llm_graphs,gemini-3-flash-preview,2,20,0.673 ±0.076,0.000 ±0.000
probe_llm_graphs,gemini-3-flash-preview,3,20,0.656 ±0.078,0.050 ±0.098
probe_llm_graphs,gpt-4o-mini-2024-07-18,1,20,0.553 ±0.094,0.000 ±0.000
probe_llm_graphs,gpt-4o-mini-2024-07-18,2,20,0.591 ±0.077,0.000 ±0.000
probe_llm_graphs,gpt-4o-mini-2024-07-18,3,20,0.602 ±0.077,0.000 ±0.000
probe_llm_graphs,gpt-5.4-mini,1,20,0.696 ±0.108,0.050 ±0.098
probe_llm_graphs,gpt-5.4-mini,2,20,0.567 ±0.106,0.000 ±0.000
probe_llm_graphs,gpt-5.4-mini,3,20,0.679 ±0.070,0.050 ±0.098
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,1,20,0.637 ±0.100,0.000 ±0.000
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,2,20,0.572 ±0.093,0.050 ±0.098
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,3,20,0.589 ±0.079,0.000 ±0.000
probe_noreserve,claude-haiku-4.5,1,20,0.840 ±0.076,0.300 ±0.206
probe_noreserve,claude-haiku-4.5,2,20,0.830 ±0.062,0.100 ±0.135
probe_noreserve,claude-haiku-4.5,3,20,0.776 ±0.064,0.050 ±0.098
probe_noreserve,gemini-3-flash-preview,1,20,0.818 ±0.071,0.250 ±0.195
probe_noreserve,gemini-3-flash-preview,2,20,0.798 ±0.055,0.050 ±0.098
probe_noreserve,gemini-3-flash-preview,3,20,0.810 ±0.061,0.050 ±0.098
probe_noreserve,gpt-4o-mini-2024-07-18,1,20,0.820 ±0.053,0.100 ±0.135
probe_noreserve,gpt-4o-mini-2024-07-18,2,20,0.787 ±0.052,0.000 ±0.000
probe_noreserve,gpt-4o-mini-2024-07-18,3,20,0.726 ±0.065,0.000 ±0.000
probe_noreserve,gpt-5.4-mini,1,20,0.818 ±0.070,0.200 ±0.180
probe_noreserve,gpt-5.4-mini,2,20,0.825 ±0.059,0.100 ±0.135
probe_noreserve,gpt-5.4-mini,3,20,0.748 ±0.072,0.050 ±0.098
probe_noreserve,qwen3-coder-30b-a3b-instruct,1,20,0.835 ±0.068,0.200 ±0.180
probe_noreserve,qwen3-coder-30b-a3b-instruct,2,20,0.793 ±0.061,0.000 ±0.000
probe_noreserve,qwen3-coder-30b-a3b-instruct,3,20,0.760 ±0.057,0.000 ±0.000
probe_oracle_edits,none,1,20,0.978 ±0.028,0.950 ±0.098
probe_oracle_edits,none,2,20,0.988 ±0.024,1.000 ±0.000
