arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi
probe,gpt-4o-mini-2024-07-18,1,8,8,0,0.896824,0.080233,0.841225,0.952423,0.940476,0.121405,0.856347,1.024606,0.896824,0.080233,0.841225,0.952423,1.125,0.834523,0.546705,1.703295,0.729167,0.234648,0.566564,0.891769,2.0,0.755929,1.476168,2.523832,2.0,0.755929,1.476168,2.523832,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.906294,0.07603,0.853608,0.95898,-0.5,0.92582,-1.141561,0.141561,2.679684,0.56867,2.285616,3.073752,0.214229,0.385159,-0.052673,0.48113,0.9206,0.145747,0.819602,1.021598,,,,,,,,,0.864773,0.112838,0.78658,0.942965,830.875,1.246423,830.011273,831.738727,103.125,16.982659,91.356618,114.893382,934.0,16.784346,922.369041,945.630959,0.000187,1e-05,0.000179,0.000194,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0475,2.04437,1.630824,4.464176,2.0,0.0,2.0,2.0,1.875,0.353553,1.63,2.12
probe,gpt-4o-mini-2024-07-18,2,8,8,0,0.703892,0.201517,0.564248,0.843536,0.622917,0.147717,0.520554,0.72528,0.773832,0.138006,0.678199,0.869466,3.5,2.070197,2.065427,4.934573,0.770833,0.197956,0.633657,0.90801,2.25,0.886405,1.635752,2.864248,2.25,0.886405,1.635752,2.864248,46.5,4.242641,43.56,49.44,0.0,0.0,0.0,0.0,0.800916,0.09567,0.73462,0.867212,-1.0,0.0,-1.0,-1.0,2.301305,0.923819,1.661131,2.941479,0.124591,0.352094,-0.119398,0.36858,0.961474,0.108944,0.885979,1.036968,,,,,,,,,0.767632,0.117793,0.686006,0.849259,1130.75,1.38873,1129.787659,1131.712341,93.625,22.057959,78.339614,108.910386,1224.375,23.002717,1208.43493,1240.31507,0.000226,1.3e-05,0.000217,0.000235,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.413375,0.462893,2.092607,2.734143,2.0,0.0,2.0,2.0,1.25,1.035098,0.532713,1.967287
probe,qwen3-coder-30b-a3b-instruct,1,8,8,0,0.870396,0.116363,0.789761,0.951031,0.940476,0.121405,0.856347,1.024606,0.870396,0.116363,0.789761,0.951031,1.375,1.187735,0.551942,2.198058,0.791667,0.231455,0.631277,0.952057,2.0,0.755929,1.476168,2.523832,2.0,0.755929,1.476168,2.523832,46.0,5.656854,42.08,49.92,0.25,0.46291,-0.07078,0.57078,0.878409,0.110458,0.801865,0.954953,-0.5,0.92582,-1.141561,0.141561,2.963691,0.562014,2.574235,3.353147,0.351435,0.502932,0.002921,0.699949,0.867652,0.195525,0.732161,1.003144,,,,,,,,,0.864773,0.112838,0.78658,0.942965,1240.875,2.948971,1238.831468,1242.918532,152.625,34.321744,128.841245,176.408755,1393.5,35.436059,1368.944064,1418.055936,0.00051,0.000162,0.000397,0.000622,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.67675,10.633185,2.308329,17.045171,1.0,1.069045,0.25919,1.74081,1.75,0.707107,1.26,2.24
probe,qwen3-coder-30b-a3b-instruct,2,8,8,0,0.74637,0.183902,0.618932,0.873808,0.689583,0.202942,0.548952,0.830215,0.786955,0.135587,0.692998,0.880912,3.0,1.690309,1.828676,4.171324,0.770833,0.197956,0.633657,0.90801,2.375,0.744024,1.859418,2.890582,2.375,0.744024,1.859418,2.890582,41.0,14.461772,30.978503,51.021497,0.125,0.353553,-0.12,0.37,0.786955,0.135587,0.692998,0.880912,-0.75,0.707107,-1.24,-0.26,2.201564,0.844698,1.616218,2.786909,0.046472,0.122188,-0.038199,0.131144,0.986836,0.035816,0.962017,1.011655,,,,,,,,,0.767633,0.117793,0.686006,0.849259,1647.0,5.398412,1643.259091,1650.740909,131.75,32.970766,108.902425,154.597575,1778.75,32.070235,1756.526461,1800.973539,0.000605,0.000192,0.000472,0.000738,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.16775,8.280117,5.429922,16.905578,0.25,0.707107,-0.24,0.74,1.0,1.069045,0.25919,1.74081
probe_repair_only,gpt-4o-mini-2024-07-18,1,8,8,0,0.896824,0.080233,0.841225,0.952423,0.940476,0.121405,0.856347,1.024606,0.896824,0.080233,0.841225,0.952423,1.125,0.834523,0.546705,1.703295,0.729167,0.234648,0.566564,0.891769,2.0,0.755929,1.476168,2.523832,2.0,0.755929,1.476168,2.523832,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.906294,0.07603,0.853608,0.95898,-0.5,0.92582,-1.141561,0.141561,2.679684,0.56867,2.285616,3.073752,0.214229,0.385159,-0.052673,0.48113,0.9206,0.145747,0.819602,1.021598,,,,,,,,,0.864773,0.112838,0.78658,0.942965,830.875,1.246423,830.011273,831.738727,103.125,16.982659,91.356618,114.893382,934.0,16.784346,922.369041,945.630959,0.000187,1e-05,0.000179,0.000194,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.082375,2.507498,0.344767,3.819983,2.0,0.0,2.0,2.0,1.875,0.353553,1.63,2.12
probe_repair_only,gpt-4o-mini-2024-07-18,2,8,8,0,0.703892,0.201517,0.564248,0.843536,0.622917,0.147717,0.520554,0.72528,0.773832,0.138006,0.678199,0.869466,3.5,2.070197,2.065427,4.934573,0.770833,0.197956,0.633657,0.90801,2.25,0.886405,1.635752,2.864248,2.25,0.886405,1.635752,2.864248,46.5,4.242641,43.56,49.44,0.0,0.0,0.0,0.0,0.800916,0.09567,0.73462,0.867212,-1.0,0.0,-1.0,-1.0,2.301305,0.923819,1.661131,2.941479,0.124591,0.352094,-0.119398,0.36858,0.961474,0.108944,0.885979,1.036968,,,,,,,,,0.767632,0.117793,0.686006,0.849259,1130.75,1.38873,1129.787659,1131.712341,93.625,22.057959,78.339614,108.910386,1224.375,23.002717,1208.43493,1240.31507,0.000226,1.3e-05,0.000217,0.000235,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.47275,1.118179,0.697892,2.247608,2.0,0.0,2.0,2.0,1.25,1.035098,0.532713,1.967287
probe_repair_only,qwen3-coder-30b-a3b-instruct,1,8,8,0,0.870396,0.116363,0.789761,0.951031,0.940476,0.121405,0.856347,1.024606,0.870396,0.116363,0.789761,0.951031,1.375,1.187735,0.551942,2.198058,0.791667,0.231455,0.631277,0.952057,2.0,0.755929,1.476168,2.523832,2.0,0.755929,1.476168,2.523832,46.0,5.656854,42.08,49.92,0.25,0.46291,-0.07078,0.57078,0.878409,0.110458,0.801865,0.954953,-0.5,0.92582,-1.141561,0.141561,2.963691,0.562014,2.574235,3.353147,0.351435,0.502932,0.002921,0.699949,0.867652,0.195525,0.732161,1.003144,,,,,,,,,0.864773,0.112838,0.78658,0.942965,1240.875,2.948971,1238.831468,1242.918532,152.625,34.321744,128.841245,176.408755,1393.5,35.436059,1368.944064,1418.055936,0.00051,0.000162,0.000397,0.000622,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.94525,11.195538,0.187138,15.703362,1.0,1.069045,0.25919,1.74081,1.75,0.707107,1.26,2.24
probe_repair_only,qwen3-coder-30b-a3b-instruct,2,8,8,0,0.74637,0.183902,0.618932,0.873808,0.689583,0.202942,0.548952,0.830215,0.786955,0.135587,0.692998,0.880912,3.0,1.690309,1.828676,4.171324,0.770833,0.197956,0.633657,0.90801,2.375,0.744024,1.859418,2.890582,2.375,0.744024,1.859418,2.890582,41.0,14.461772,30.978503,51.021497,0.125,0.353553,-0.12,0.37,0.786955,0.135587,0.692998,0.880912,-0.75,0.707107,-1.24,-0.26,2.201564,0.844698,1.616218,2.786909,0.046472,0.122188,-0.038199,0.131144,0.986836,0.035816,0.962017,1.011655,,,,,,,,,0.767633,0.117793,0.686006,0.849259,1647.0,5.398412,1643.259091,1650.740909,131.75,32.970766,108.902425,154.597575,1778.75,32.070235,1756.526461,1800.973539,0.000605,0.000192,0.000472,0.000738,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.837375,8.164629,4.179576,15.495174,0.25,0.707107,-0.24,0.74,1.0,1.069045,0.25919,1.74081
probe_skel_only,none,1,8,8,0,0.839773,0.146402,0.738321,0.941224,0.875,0.248008,0.703139,1.046861,0.864773,0.112838,0.78658,0.942965,1.5,1.195229,0.671749,2.328251,0.9375,0.176777,0.815,1.06,1.5,0.534522,1.129595,1.870405,1.5,0.534522,1.129595,1.870405,31.0,16.248077,19.740657,42.259343,0.25,0.46291,-0.07078,0.57078,0.864773,0.112838,0.78658,0.942965,-0.5,0.92582,-1.141561,0.141561,1.76829,0.370178,1.51177,2.02481,0.086779,0.245011,-0.083005,0.256563,0.937486,0.176771,0.81499,1.059982,,,,,,,,,0.864773,0.112838,0.78658,0.942965,,,,,,,,,,,,,,,,,,,,,,,,,0.947375,1.846879,-0.332447,2.227197,,,,,,,,
probe_skel_only,none,2,8,8,0,0.710381,0.147928,0.607872,0.81289,0.63125,0.14812,0.528608,0.733892,0.767632,0.117793,0.686006,0.849259,3.375,1.187735,2.551942,4.198058,0.8125,0.207737,0.668545,0.956455,2.25,0.707107,1.76,2.74,2.25,0.707107,1.76,2.74,35.0,15.964246,23.937342,46.062658,0.0,0.0,0.0,0.0,0.767632,0.117793,0.686006,0.849259,-1.0,0.0,-1.0,-1.0,2.111735,0.751961,1.590653,2.632817,0.086644,0.245066,-0.083178,0.256466,0.9375,0.176777,0.815,1.06,,,,,,,,,0.767632,0.117793,0.686006,0.849259,,,,,,,,,,,,,,,,,,,,,,,,,0.424,0.371158,0.1668,0.6812,,,,,,,,
