arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,40,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.002 ±0.000
pc_greedy_meek,none,40,0.894 ±0.044,0.926 ±0.052,0.957 ±0.018,0.975 ±0.368,0.921 ±0.055,1.700 ±0.188,—,—,—,—,—,0.176 ±0.291
probe,gpt-4o-mini-2024-07-18,40,0.954 ±0.023,0.950 ±0.039,0.965 ±0.016,0.550 ±0.262,0.700 ±0.059,2.425 ±0.170,979.275 ±46.871,98.750 ±5.843,1078.025 ±47.128,0.000 ±0.000,1.000 ±0.000,3.295 ±0.774
probe,qwen3-coder-30b-a3b-instruct,40,0.938 ±0.034,0.934 ±0.050,0.959 ±0.018,0.675 ±0.317,0.646 ±0.044,2.575 ±0.155,1496.850 ±83.523,358.900 ±153.708,1855.750 ±217.395,0.001 ±0.000,1.025 ±0.049,4.458 ±1.423
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,0.692 ±0.062,0.902 ±0.067,0.954 ±0.019,2.400 ±0.510,0.979 ±0.029,0.550 ±0.221,929.900 ±39.871,375.725 ±17.145,1305.625 ±55.417,0.000 ±0.000,1.000 ±0.000,5.667 ±0.561
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,0.728 ±0.068,0.934 ±0.044,0.931 ±0.027,2.450 ±0.647,0.829 ±0.065,1.700 ±0.323,1533.650 ±188.988,891.225 ±100.438,2424.875 ±250.266,0.002 ±0.000,1.100 ±0.117,8.365 ±0.934
probe_mec_only,none,40,0.903 ±0.047,0.934 ±0.047,0.957 ±0.018,0.900 ±0.377,0.879 ±0.066,1.775 ±0.164,—,—,—,—,—,0.067 ±0.021
probe_oracle_edits,none,40,0.991 ±0.014,1.000 ±0.000,0.996 ±0.006,0.075 ±0.108,0.900 ±0.059,1.900 ±0.154,—,—,—,—,—,0.495 ±0.310
probe_random_edits,none,40,0.919 ±0.040,0.927 ±0.054,0.955 ±0.018,0.850 ±0.381,0.646 ±0.044,2.550 ±0.171,—,—,—,—,—,0.739 ±0.314
probe_skel_only,none,40,0.945 ±0.026,0.942 ±0.046,0.957 ±0.018,0.650 ±0.286,0.900 ±0.059,1.875 ±0.160,—,—,—,—,—,0.587 ±0.316
