arm,model_tag,level,n,directed_f1,truth_in_hypotheses
oracle,none,1,20,1.000 ±0.000,—
oracle,none,2,20,1.000 ±0.000,—
pc_greedy_meek,none,1,20,0.864 ±0.075,—
pc_greedy_meek,none,2,20,0.924 ±0.042,—
probe,gpt-4o-mini-2024-07-18,1,20,0.957 ±0.034,0.750 ±0.195
probe,gpt-4o-mini-2024-07-18,2,20,0.951 ±0.033,0.600 ±0.220
probe,qwen3-coder-30b-a3b-instruct,1,20,0.922 ±0.059,0.700 ±0.206
probe,qwen3-coder-30b-a3b-instruct,2,20,0.954 ±0.034,0.550 ±0.224
probe_llm_graphs,gpt-4o-mini-2024-07-18,1,20,0.669 ±0.090,0.100 ±0.135
probe_llm_graphs,gpt-4o-mini-2024-07-18,2,20,0.714 ±0.088,0.100 ±0.135
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,1,20,0.726 ±0.110,0.300 ±0.206
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,2,20,0.730 ±0.081,0.100 ±0.135
probe_mec_only,none,1,20,0.873 ±0.084,0.600 ±0.220
probe_mec_only,none,2,20,0.934 ±0.040,0.500 ±0.225
probe_oracle_edits,none,1,20,0.983 ±0.027,0.950 ±0.098
probe_oracle_edits,none,2,20,1.000 ±0.000,1.000 ±0.000
probe_random_edits,none,1,20,0.920 ±0.061,0.650 ±0.214
probe_random_edits,none,2,20,0.918 ±0.054,0.500 ±0.225
probe_skel_only,none,1,20,0.942 ±0.041,0.650 ±0.214
probe_skel_only,none,2,20,0.947 ±0.035,0.500 ±0.225
