arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,20,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.003 ±0.001
pc_greedy,none,20,0.854 ±0.065,0.920 ±0.063,0.948 ±0.028,1.400 ±0.610,0.775 ±0.104,1.700 ±0.379,—,—,—,—,—,0.323 ±0.576
pc_greedy_meek,none,20,0.851 ±0.067,0.916 ±0.065,0.948 ±0.028,1.400 ±0.626,0.925 ±0.069,1.400 ±0.387,—,—,—,—,—,0.320 ±0.575
probe,gpt-4o-mini-2024-07-18,20,0.904 ±0.058,0.931 ±0.074,0.947 ±0.029,1.050 ±0.611,0.717 ±0.089,2.250 ±0.345,979.700 ±67.316,103.100 ±7.364,1082.800 ±69.310,0.000 ±0.000,1.000 ±0.000,2.900 ±0.656
probe,qwen3-coder-30b-a3b-instruct,20,0.913 ±0.062,0.932 ±0.064,0.945 ±0.031,0.950 ±0.594,0.733 ±0.093,2.250 ±0.280,1445.750 ±90.927,223.750 ±100.845,1669.500 ±123.105,0.001 ±0.000,1.000 ±0.000,9.057 ±8.732
probe_llm_graphs,gpt-4o-mini-2024-07-18,20,0.652 ±0.069,0.909 ±0.067,0.940 ±0.035,2.800 ±0.613,1.000 ±0.000,0.400 ±0.262,929.550 ±56.879,371.550 ±19.616,1301.100 ±72.980,0.000 ±0.000,1.000 ±0.000,4.239 ±0.226
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,20,0.663 ±0.105,0.904 ±0.077,0.913 ±0.039,3.200 ±1.079,0.850 ±0.094,1.300 ±0.474,1371.700 ±80.526,774.200 ±77.960,2145.900 ±138.096,0.002 ±0.000,1.000 ±0.000,13.698 ±4.742
probe_mec_only,none,20,0.851 ±0.075,0.916 ±0.065,0.948 ±0.028,1.400 ±0.673,0.925 ±0.080,1.350 ±0.294,—,—,—,—,—,0.097 ±0.038
probe_repair_only,gpt-4o-mini-2024-07-18,20,0.904 ±0.058,0.931 ±0.074,0.947 ±0.029,1.050 ±0.611,0.717 ±0.089,2.250 ±0.345,979.700 ±67.316,103.100 ±7.364,1082.800 ±69.310,0.000 ±0.000,1.000 ±0.000,1.504 ±0.808
probe_repair_only,qwen3-coder-30b-a3b-instruct,20,0.913 ±0.062,0.932 ±0.064,0.945 ±0.031,0.950 ±0.594,0.733 ±0.093,2.250 ±0.280,1445.750 ±90.927,223.750 ±100.845,1669.500 ±123.105,0.001 ±0.000,1.000 ±0.000,6.772 ±8.838
probe_skel_only,none,20,0.934 ±0.041,0.951 ±0.046,0.948 ±0.028,0.800 ±0.463,0.883 ±0.092,1.750 ±0.280,—,—,—,—,—,0.456 ±0.124
