arm,model_tag,level,n,directed_f1,truth_in_hypotheses
oracle,none,1,10,1.000 ±0.000,—
oracle,none,2,10,1.000 ±0.000,—
pc_greedy,none,1,10,0.914 ±0.079,—
pc_greedy,none,2,10,0.794 ±0.093,—
pc_greedy_meek,none,1,10,0.914 ±0.079,—
pc_greedy_meek,none,2,10,0.788 ±0.097,—
probe,gpt-4o-mini-2024-07-18,1,10,0.948 ±0.059,0.800 ±0.261
probe,gpt-4o-mini-2024-07-18,2,10,0.860 ±0.096,0.400 ±0.320
probe,qwen3-coder-30b-a3b-instruct,1,10,0.900 ±0.108,0.700 ±0.299
probe,qwen3-coder-30b-a3b-instruct,2,10,0.927 ±0.066,0.500 ±0.327
probe_llm_graphs,gpt-4o-mini-2024-07-18,1,10,0.656 ±0.125,0.100 ±0.196
probe_llm_graphs,gpt-4o-mini-2024-07-18,2,10,0.649 ±0.068,0.000 ±0.000
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,1,10,0.730 ±0.182,0.400 ±0.320
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,2,10,0.597 ±0.099,0.000 ±0.000
probe_mec_only,none,1,10,0.914 ±0.105,0.700 ±0.299
probe_mec_only,none,2,10,0.788 ±0.097,0.200 ±0.261
probe_repair_only,gpt-4o-mini-2024-07-18,1,10,0.948 ±0.059,0.800 ±0.261
probe_repair_only,gpt-4o-mini-2024-07-18,2,10,0.860 ±0.096,0.400 ±0.320
probe_repair_only,qwen3-coder-30b-a3b-instruct,1,10,0.900 ±0.108,0.700 ±0.299
probe_repair_only,qwen3-coder-30b-a3b-instruct,2,10,0.927 ±0.066,0.500 ±0.327
probe_skel_only,none,1,10,0.965 ±0.037,0.700 ±0.299
probe_skel_only,none,2,10,0.903 ±0.070,0.400 ±0.320
